iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
10,-13.096642673015594,0.5424133002758026,0.6021650046110153,0.5923069067299366,0.5122323207557201,0.615905924141407,0.6049088858067989,0.6595560893416405,0.5180416762828827,0.5825882241129875,0.5940137937664985,0.6195697471499443,0.5257269985973835,0.5788979776203632,0.6285083390772342,0.6283489637076854,0.5275404885411262,0.6131163522601127,0.6192006342113018,0.6242394469678402,0.47504656240344045,0.610236781090498,0.6436545275151729,0.6521699525415897,0.539633060246706,0.5934891238808632,0.6293238461017608,0.5964275769889354,0.5072623141109943
11,-13.1317358314991,0.5411239773035049,0.6037559568881988,0.593200946599245,0.5099381379783153,0.6162236467003822,0.604252266138792,0.660342900454998,0.5177530854940414,0.584061412513256,0.5926614537835121,0.6189188793301582,0.5245314337313175,0.5771128185093403,0.6291005857288837,0.6279646329581737,0.526738329231739,0.6124666169285774,0.6175782404839992,0.6256465934216976,0.4755993656814098,0.6096923671662807,0.6435504131019115,0.6530204065144062,0.5390389062464237,0.5926342144608497,0.6318698137998581,0.5962974600493908,0.505565682798624
12,-13.156664460897446,0.5399186372756958,0.6052857100963592,0.5940634705126285,0.5081528596580028,0.6164621397852897,0.6038118027150631,0.6608433708548546,0.5175844192504883,0.5853323623538017,0.5917256012558937,0.6184764936566353,0.523449981957674,0.5754900522530079,0.6290924347937107,0.6276653133332729,0.52617779225111,0.6120365247130394,0.61624221727252,0.6268245600163936,0.4762693516910076,0.6091601572930813,0.6432666204869747,0.6537413991987705,0.5387035556137562,0.59195147305727,0.6338976979255676,0.5959976188838482,0.5040810503065586
13,-13.17559888958931,0.538760444521904,0.6067009180784225,0.5948885180056095,0.506731765717268,0.6166437402367592,0.6035335384309292,0.6611927583813667,0.5174617975950241,0.58642048984766,0.5910587146878242,0.61821019500494,0.5224452562630176,0.5739971347153187,0.6287071354687214,0.6274224691092968,0.5257504865527153,0.611783592402935,0.6151446126401424,0.6278051756322384,0.47698056921362875,0.6086841396987438,0.6428921245038509,0.6543357469141483,0.5385014660656452,0.5913738444447517,0.6355416983366012,0.5955945871770382,0.5027364589273929
14,-13.19070890545845,0.5376364350318908,0.6080004334449768,0.5956731237471103,0.5055916182696819,0.6167683586478233,0.603388162702322,0.6614509209990501,0.5173446148633957,0.5873450919985771,0.590566037595272,0.6180868282914161,0.5215238727629185,0.5726192690432071,0.6280750580132007,0.6272145681083202,0.5254017099738121,0.6116695985198021,0.6142354182898998,0.6286320708692074,0.4776930384337902,0.6082720629870891,0.6424798242747783,0.6548252500593662,0.5383563585579395,0.5908768907189369,0.6368958711624145,0.5951312504708767,0.5014983810484409
15,-13.203282058238983,0.5365323036909103,0.6091926604509353,0.5964415915310383,0.5046598337590694,0.6168593898415565,0.6033344440162182,0.6616709217429161,0.5172419905662536,0.588141618669033,0.5902132228016853,0.6180684700608253,0.5206662066280842,0.5713504053652286,0.6272860266268253,0.6270279012620449,0.5251069948077202,0.6116492435336113,0.6134867392480373,0.6293381027877331,0.47838190421462057,0.6079151056706905,0.6420501939952373,0.6552168227732181,0.5382593221962452,0.5904306158423424,0.638034051656723,0.5946275018155575,0.5003415890038013
16,-13.213968515396118,0.5354531764984131,0.6102854669094085,0.5971780516207218,0.503897475451231,0.6169155821204185,0.6033569745719433,0.6618788227438926,0.5171454906463623,0.5888215884566307,0.5899302944540977,0.6181321129202842,0.5198844470083713,0.570176387578249,0.626401150971651,0.6268472991883755,0.5248543009161949,0.6117112621665001,0.6128589086234569,0.6299502871930599,0.4790636919438839,0.607612269371748,0.6416264198720455,0.6555322952568531,0.5381770081818104,0.5900383576750755,0.6389965027570724,0.594104903191328,0.4992672897875309
17,-13.223300158977509,0.5343928545713424,0.6112962126731872,0.5978870488703251,0.5032694511115551,0.6169586315751076,0.6034276656806469,0.6620826706290245,0.5170547723770141,0.5894160106778145,0.5897001758217811,0.6182538107037544,0.519157762080431,0.5690764583647251,0.6254616476595402,0.6266651920974254,0.5246390536427498,0.6118317529559135,0.6123209618031978,0.6304960124194622,0.47968544289469717,0.6073585025966167,0.6412093661725521,0.6557892508804798,0.5381260760128498,0.5896775856614113,0.6398148000240326,0.5935660772025585,0.4982485421001911
18,-13.23160994052887,0.5333553910255432,0.6122328251600265,0.5985856004059315,0.5027432762086391,0.616981340944767,0.6035441033542156,0.6622927322983742,0.5169801920652389,0.5899319186806679,0.589508680999279,0.6184128060936928,0.5184909202158451,0.5680564142763614,0.6244859643280506,0.626482056826353,0.5244444891810417,0.6119930133223533,0.6118629597127437,0.6309810154139995,0.48030409440398214,0.6071427188813686,0.6408135466277599,0.6559995211660862,0.5380798079073429,0.5893583133816719,0.6405199527740478,0.5930265806615352,0.4972855843603611
19,-13.239129811525345,0.5323339611291885,0.6131199806928634,0.599264258891344,0.502308639138937,0.6169925913214683,0.6036920867860317,0.6625203028321266,0.516896790266037,0.5903907850384712,0.5893360957503319,0.6186024233698845,0.5178691990673542,0.5670941419899463,0.6235057808458805,0.6262947492301464,0.5242735132575035,0.6121891424059868,0.6114625357091427,0.631428437680006,0.4808727078139782,0.6069579444825649,0.6404373072087765,0.656166086345911,0.5380389489233494,0.5890661016106605,0.6411354601383209,0.5924906603991985,0.4963780291378498
20,-13.245898991823196,0.5313357472419739,0.6139372795820236,0.5999333806335926,0.5019325040280819,0.6170089825987816,0.603869216889143,0.6627532079815864,0.5168296009302139,0.5907877370715141,0.5891750440001488,0.6188165530562401,0.5172965474426746,0.5661885686218738,0.6225207693874836,0.6261018984019756,0.5241370782256126,0.6124087408185005,0.6111197046935558,0.6318423770368099,0.4814113102853298,0.6068030022084713,0.6400801561772823,0.6563025511801243,0.538005868345499,0.5888001009821892,0.641679561138153,0.5919577948749065,0.4955120630562305
21,-13.25210416316986,0.5303565323352813,0.6147178173065185,0.6005793608725071,0.5016207121312618,0.61701869815588,0.604053708165884,0.6630088821053505,0.5167679697275162,0.5911469742655754,0.5890208169817924,0.619039623439312,0.5167615510523319,0.5653346426784992,0.6215554423630237,0.6259171240031719,0.5240163490176201,0.6126558765769005,0.6108114294707775,0.6322381667792797,0.481925281137228,0.6066714100539684,0.6397488288581371,0.6564086176455021,0.5379738308489322,0.588562636077404,0.6421566516160965,0.5914312623441219,0.49470307901501653
22,-13.257801204919815,0.5293978810310364,0.6154570341110229,0.6012084133923054,0.5013647548854351,0.6170337185263634,0.6042514763772487,0.6632796064019203,0.5167233407497406,0.591469494998455,0.5888688251376152,0.6192596986889839,0.5162672646343708,0.5645210243761539,0.620605269819498,0.625730025023222,0.5239069446921348,0.6129142329096794,0.6105521194636822,0.6326142720878124,0.48240490481257436,0.6065591298043728,0.6394416265189647,0.6565004087984562,0.5379432238638401,0.5883408769965172,0.6425852835178375,0.5909147284924984,0.49392802491784094
23,-13.263061821460724,0.5284627735614776,0.616163557767868,0.601827735453844,0.5011461995542049,0.6170491561293602,0.6044611059129238,0.6635614469647407,0.5166916161775589,0.5917666241526603,0.5887204095721245,0.6194852128624916,0.5157981015741825,0.5637471176683903,0.619668985158205,0.6255521349608898,0.5238175228238106,0.6131848976016044,0.6103206597268581,0.6329724662005901,0.4828590027987957,0.6064643435180187,0.6391623936593532,0.6565803982317447,0.5379166401922703,0.588136388361454,0.6429705083370209,0.5904018305242061,0.49318544045090673
24,-13.267958611249924,0.527543893456459,0.6168416798114776,0.6024285651743412,0.500970097631216,0.6170704647898674,0.6046700201928615,0.6638614073395729,0.5166613966226578,0.5920437708497047,0.5885633066296577,0.6197013542056083,0.5153642691671848,0.5630137719213962,0.6187500454485416,0.625374423712492,0.5237398728728294,0.6134698376059532,0.6101083479821682,0.6333223156630993,0.4832827769219875,0.6063872598111629,0.6389097891747951,0.6566503889858722,0.5378943778574466,0.5879429712891578,0.6433110445737839,0.5899018369615078,0.4924773521721363
25,-13.27249938249588,0.5266479462385177,0.6174926966428756,0.6030165798962116,0.5008275680243969,0.6170982405543327,0.6048771910369396,0.6641748234629631,0.5166513681411743,0.592292158305645,0.5884061738848686,0.6199137553572655,0.5149614311754703,0.5623174108564853,0.6178567208349705,0.6252036117017269,0.5236877784132957,0.6137531980872154,0.6099235288798809,0.6336657725274563,0.4836977444589138,0.606323080509901,0.6386778078973293,0.6567062385380268,0.5378655441105366,0.5877673611044884,0.6436313152313232,0.5894123785197735,0.49180964604020116
26,-13.276769608259201,0.5257652461528778,0.61812843978405,0.6035946108400821,0.5007103107869625,0.6171358361840248,0.6050926767289638,0.664498670399189,0.5166344553232193,0.5925200417637825,0.5882413372397423,0.6201148316264152,0.5145831353962421,0.5616543985903263,0.6169766284525394,0.6250320099294185,0.5236410483717918,0.6140480473637581,0.6097597800195217,0.6340052507817745,0.48407249376177786,0.6062708966434002,0.638465540856123,0.6567598678171634,0.53783775344491,0.5876021668314934,0.6439145863056183,0.5889363311231136,0.49116663113236425
27,-13.280790895223618,0.5249057620763778,0.6187307745218277,0.6041553266346454,0.500616493076086,0.6171775594353676,0.6053085200488567,0.6648364946246147,0.5166366010904312,0.5927316531538963,0.5880798980593681,0.6203086957335472,0.5142292328178882,0.5610294736921787,0.6161285884678364,0.6248740129172802,0.5235987886786461,0.6143471285700798,0.6096227638423443,0.63433583304286,0.4844281993806362,0.606236519664526,0.638276519626379,0.6567990280687809,0.5378079362213611,0.5874484613537788,0.6441707819700241,0.588466527312994,0.4905387111008167
28,-13.284521341323853,0.5240650683641433,0.6193024575710296,0.604706148058176,0.5005508683621883,0.6172218605875969,0.6055256895720958,0.6651857331395149,0.5166494309902191,0.5929276183247566,0.5879097267985344,0.6204892233014107,0.5139073528349399,0.5604292102158069,0.6152999497950077,0.6247268490493297,0.5235745742917061,0.6146499648690223,0.6094993524253368,0.6346709750592708,0.48477196916937826,0.606213542073965,0.6381071083247661,0.656836400181055,0.5377794004976749,0.5873084500432014,0.6444124042987823,0.588009300082922,0.4899389989674091
29,-13.288107454776764,0.5232384115457535,0.6198671966791153,0.6052472539246082,0.5005040489137172,0.6172887966036796,0.6057383887469768,0.66553965061903,0.5166657626628876,0.593112675845623,0.587737663090229,0.620655058324337,0.5136004187166691,0.5598534889519214,0.6144840814173221,0.6245813839137554,0.5235592409968376,0.6149532929062843,0.6093831680715084,0.6349990390241146,0.4850922398269176,0.606199087947607,0.6379544906318187,0.6568690784275532,0.5377446211874485,0.5871689304709434,0.6446220487356186,0.5875667057931423,0.4893698193132877
