iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
10,-11.187942758202553,0.5188452884554863,0.5973718784749508,0.6009115524590015,0.5293392896652221,0.6047212764620781,0.612569535523653,0.6564377158880234,0.5186695478856563,0.6105253718793392,0.6181108340620994,0.6354660339653492,0.47075088173151014,0.6064692944288254,0.6572230033576488,0.6570044033229351,0.5646926298737526,0.6483074262738228,0.6187125653028488,0.5943713061511516,0.49460831880569456
11,-11.511233612895012,0.5138021469116211,0.5947361387312412,0.5994681589305401,0.5254706278443336,0.6073238685727119,0.6099695436656475,0.6599201992154121,0.5112615175545215,0.6118282549083233,0.6151111334562301,0.6378444008529186,0.46297205835580824,0.6037660449743271,0.6620483867824077,0.6636469386518001,0.5630874320864677,0.6495484620332718,0.6192113295197487,0.5970840774476528,0.48928204029798505
12,-11.841971755027771,0.5090860933065414,0.5924698062241077,0.5984819628298282,0.5210785403847694,0.6106110572814941,0.6073893629014492,0.6630561709403991,0.5036969058215618,0.6128468237817287,0.6118059292435646,0.6398458428680897,0.4553253710269928,0.6008095055818558,0.666648680716753,0.6709835030138492,0.5604232013225555,0.6499437004327774,0.6202822238206863,0.599930340796709,0.4844630792737007
13,-12.168467283248901,0.5047004729509353,0.5905136860907078,0.5980635829269886,0.5163328185677528,0.6143650025129318,0.6050167106091976,0.6658886730670929,0.4961375169456005,0.6136040411889553,0.6082542076706886,0.6416410006582737,0.4480256050825119,0.5978106468915939,0.6708954520523548,0.6787163563072681,0.5567380845546722,0.6496530681848526,0.6220464617013931,0.6027615316212177,0.4800534680485725
14,-12.462906032800674,0.5007026106119156,0.5888057298958301,0.5982430674135685,0.5115840569138527,0.6181767046451568,0.602951230853796,0.6684500634670257,0.4889851830899715,0.614195766299963,0.604540853202343,0.6433858521282673,0.4414765894412994,0.5950365871191025,0.6746503956615925,0.6863023586571216,0.5522755146026611,0.6488706827163696,0.624498164653778,0.6054343976080417,0.47597473710775373
15,-12.69542309641838,0.4971374928951263,0.58728683963418,0.598959083110094,0.5072404578328132,0.6215608328580856,0.601188050955534,0.6707181841135025,0.48278686627745626,0.6147896818816662,0.6008513554930687,0.6451842583715915,0.436198017001152,0.5927267283201217,0.6777583308517933,0.6930969156324863,0.5475210458040237,0.6478300005197525,0.627462750673294,0.6078403688967228,0.4721748813986778
16,-12.856401771306992,0.4940700441598892,0.5859760738909244,0.6000509805977344,0.503651125729084,0.624151086807251,0.599660637229681,0.6726097077131271,0.4779422603547573,0.6155851803719997,0.5973739311099052,0.6471062399446964,0.43245976269245145,0.5909859448671341,0.6801018960773945,0.6986321456730366,0.5430679827928543,0.6467728972434997,0.6305738151073456,0.6099300779402256,0.46862427741289137
17,-12.959388881921768,0.4914932459592819,0.5849316962063312,0.6013239122927189,0.5008850529789924,0.6258943736553192,0.5983095191419124,0.6740555077791214,0.47453160807490347,0.6166899971663952,0.5942727461457252,0.6491642095148563,0.4301471471786499,0.5897413402795791,0.6816619135439396,0.7028387583792209,0.5393192082643509,0.645898362994194,0.6334706455469131,0.6116837657988071,0.4653135225176811
18,-13.025359034538269,0.48934069871902464,0.5842233099043369,0.6026290453970432,0.4987986072897911,0.6269709080457687,0.5970912151038646,0.6750695317983627,0.4722521029412746,0.6180888287723064,0.5916312471032142,0.6513006187975406,0.42885049283504484,0.5888280034065246,0.6825437195599079,0.7059721149504185,0.5364251047372818,0.6452873706817627,0.6359075665473938,0.6131389088928699,0.46224084347486494
19,-13.070199817419052,0.48751202821731565,0.5838734157383442,0.6039057768881321,0.4971579149365425,0.6276223421096802,0.5959667287766933,0.675717881321907,0.47081209942698476,0.6196966342628002,0.5894597604870796,0.6534668900072574,0.428187957406044,0.5880892634391784,0.6828884281218052,0.7083435751497745,0.5342779219150543,0.6449493080377579,0.6378351658582687,0.6143329091370106,0.4593931570649147
20,-13.103401988744736,0.4859024196863174,0.5838285185396671,0.6051222629845142,0.49581086486577985,0.6280179530382156,0.5949206821620464,0.6761076509952545,0.46989804729819296,0.6214189402759075,0.5877124354243278,0.6556176491081714,0.42789501547813413,0.5874123334884643,0.682867432385683,0.7102214641869068,0.5327228814363479,0.6448347181081772,0.6393072813749313,0.6153138376772403,0.45675128549337385
21,-13.129951566457748,0.48444980978965757,0.5840329773724079,0.6062840469181537,0.49466498047113416,0.6282736867666244,0.5939175061881542,0.6763193517923355,0.4693519793450832,0.6231867544353008,0.5863197579979896,0.6577347911894321,0.42779344916343687,0.5867545813322067,0.6825931467115879,0.7117694564163685,0.5315996021032333,0.6448783487081527,0.6404258072376251,0.616129020601511,0.45431615263223646
22,-13.152417361736298,0.4830950558185577,0.584442476183176,0.6073919035494327,0.4936808183789253,0.6284482985734939,0.5929437004029751,0.6764316618442535,0.4690473102033138,0.62495002374053,0.5852169975638389,0.6598148144781589,0.4278302401304245,0.5860913902521133,0.6821597762405872,0.7131025142967701,0.5307684004306793,0.6450276583433151,0.6412932485342026,0.616813937574625,0.4520753756165504
23,-13.172221332788467,0.48181276619434354,0.5849875010550022,0.6084460414946079,0.492811544239521,0.6285771787166595,0.5919954054057598,0.6764829218387604,0.46892146989703176,0.6266804508864879,0.5843579903244972,0.6618627704679966,0.42791821658611295,0.5854056239128113,0.6816204585134983,0.7142762191593647,0.530131733417511,0.645247957110405,0.6419699251651764,0.6173911042511463,0.4500110730528831
24,-13.190039545297623,0.48057674467563627,0.5856310375034809,0.6094621814787388,0.4920316472649574,0.6286993682384491,0.5910729490220547,0.6765111595392227,0.46891086027026174,0.6283620469272136,0.5836821928620338,0.6638816244900226,0.428046977519989,0.5846984148025512,0.6810229517519474,0.7153431721031666,0.5296318888664245,0.6455148965120315,0.6425065159797668,0.617887432128191,0.448113976418972
