iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
10,-13.178537100553513,0.579507103562355,0.5890899583697319,0.6063516944646835,0.6132446065545082,0.6109059065580368,0.6493973642587662,0.5852989912033081,0.5714272171258926,0.5807544201612472,0.6117739737033844,0.617589695751667,0.6241659060120582,0.6099941492080688,0.6450559705495834,0.5744969829916954,0.5623882174491882,0.5913904890418052,0.627649238705635,0.6193528458476066,0.6193115174770355,0.6226688235998153,0.6283639505505562,0.5661412462592125,0.5730030670762062,0.6001841560006141,0.6283340141177177,0.616827717423439,0.6267885252833366,0.6187268480658531,0.6077430605888366,0.5646914005279541,0.5944438487291336
11,-13.198162153363228,0.5856511354446411,0.5804930314421654,0.6110130310058594,0.6065147802233696,0.6141148120164871,0.6434864312410354,0.5887250363826751,0.5697694331407547,0.5860590696334839,0.6065540075302124,0.6211172327399254,0.6180600807070732,0.6121393054723739,0.6380472838878631,0.5789700284600258,0.560662230849266,0.595334155857563,0.6265022069215774,0.6199205502867698,0.6144450664520263,0.6230856537818908,0.6219039395451545,0.572042866051197,0.5720615819096565,0.6025974735617637,0.6285134389996528,0.6155345201492309,0.6239775255322456,0.6171671882271766,0.6028442591428756,0.5717066884040832,0.5933899343013763
12,-13.227251201868057,0.5804471060633659,0.5859571903944015,0.606743311882019,0.6126485675573349,0.6096383616328239,0.6499263033270836,0.5867194443941116,0.5701685085892677,0.5812346920371055,0.6122217535972595,0.6177963078022003,0.6238557830452919,0.6077773407101631,0.6459895506501198,0.5753750935196876,0.5610940888524055,0.5921985864639282,0.6299265682697296,0.6191395208239555,0.6186064317822456,0.6224354267120361,0.6283226147294044,0.5667475894093513,0.5724419489502907,0.6007335916161537,0.630008427798748,0.6169641301035881,0.6276960134506225,0.6185980722308159,0.6067879930138588,0.5652387872338295,0.5941893294453621
13,-13.249115735292435,0.585942967236042,0.5783811569213867,0.6109072029590606,0.6067306607961654,0.6124233737587929,0.6447173342108726,0.5895490109920501,0.5688016250729561,0.5859634116292,0.6076408386230469,0.6208506882190704,0.6185092315077781,0.6096365138888359,0.6396196916699409,0.5791961684823036,0.5597297832369804,0.5956602305173874,0.6289887636899948,0.6195835009217262,0.6144656524062156,0.6226765722036361,0.6224252417683601,0.571920482814312,0.5718199744820595,0.6027771517634392,0.6302209332585335,0.6158369913697243,0.6253811925649643,0.617070822417736,0.6024435296654701,0.5713723734021187,0.5934458956122398
14,-13.275112450122833,0.5814255535602569,0.5830999821424484,0.607274642586708,0.6118973851203918,0.6084387585520744,0.6502411499619484,0.5879311621189117,0.5692314341664314,0.581765367090702,0.6125586837530136,0.618016941845417,0.6234168022871017,0.6058002173900604,0.6464868396520614,0.5760860502719879,0.5600945636630058,0.5930947050452232,0.6318441763520241,0.6190512835979461,0.6179102346301079,0.6221956148743629,0.6279016569256782,0.5672950804233551,0.5720257371664047,0.601389130949974,0.6314057394862175,0.6171953961253166,0.6284472927451134,0.6183841660618782,0.6058219209313392,0.5657791182398796,0.5939019605517387
15,-13.29457139968872,0.586078143119812,0.5766912460327148,0.6108343362808227,0.6069266706705093,0.6107155963778496,0.64586211591959,0.590207090973854,0.5681638702750206,0.5857316687703132,0.6087405890226364,0.62052191644907,0.6189892053604126,0.6072788447141647,0.6410123616456985,0.5791957139968872,0.559070511162281,0.5960074499249458,0.6311546698212623,0.6193762481212616,0.6145601257681846,0.6222955271601677,0.6228247866034508,0.5715902805328369,0.5716585874557495,0.6030705779790878,0.6316470935940742,0.6162402912974357,0.6266643539071083,0.6169810876250267,0.6021659359335899,0.570870204269886,0.5933927580714226
16,-13.31489583849907,0.5823473840951919,0.5805125445127487,0.6078987926244735,0.6110796466469764,0.6073177367448807,0.6504044070839882,0.588991804420948,0.5685795083642006,0.5822361469268799,0.612839138507843,0.6181981474161148,0.622978812456131,0.6040137767791748,0.6467042401432991,0.5766171798110008,0.5593555629253387,0.5940157756209373,0.6334761813282966,0.6190510675311088,0.6172745361924171,0.6219635814428329,0.6272926464676857,0.567726930975914,0.5717364907264709,0.6021005049347877,0.6325959399342537,0.6174494907259941,0.6291099101305008,0.6181343257427215,0.6049327686429024,0.5662315174937248,0.5935972318053245
17,-13.330324560403824,0.5861280620098114,0.5752473086118698,0.610832205414772,0.6070352777838707,0.6090802311897278,0.6468772426247597,0.5907952025532722,0.567779777944088,0.5854169487953186,0.6098011195659637,0.6201734900474548,0.6194613337516784,0.6050960630178451,0.6422141030430794,0.5790453985333442,0.5586314111948013,0.5964048191905021,0.6330213233828544,0.6192822590470314,0.6146472379565239,0.6219785571098327,0.6230752900242805,0.5711527973413467,0.5715412408113479,0.6034690573811531,0.6328799113631248,0.6166605338454246,0.627827113866806,0.6169227570295334,0.6019472166895866,0.5702852442860603,0.5932622835040092
18,-13.345090389251709,0.5831602573394775,0.5781854152679443,0.6085445046424866,0.6102475956082344,0.6062500536441803,0.65049579590559,0.5899415001273155,0.5681398943066597,0.5826012253761291,0.6131192058324814,0.6183169096708298,0.6226018875837326,0.602374529838562,0.6467579141259193,0.5769805744290352,0.5588235467672348,0.5949274733662605,0.6349038764834404,0.6191139802336693,0.6166852101683616,0.6217536687850952,0.6265753492712974,0.568046024441719,0.571538707613945,0.6028329268097877,0.6336500480771065,0.617687015235424,0.6297304838895798,0.6178988724946975,0.6041123554110527,0.5665783569216728,0.5933006092905998
19,-13.35643407702446,0.5861415773630142,0.5739735573530197,0.6108884572982788,0.6070488974452019,0.6075327157974243,0.6477592125535011,0.5913513883948326,0.5675687029957771,0.5850600361824035,0.6107993334531784,0.6198028981685638,0.6199067294597626,0.6030852407217026,0.6431959703564644,0.5788146689534187,0.5583123028278351,0.5968514367938041,0.6346640422940254,0.6192745700478554,0.614678992331028,0.6217116177082062,0.6231683030724525,0.5706783890724182,0.5714641720056534,0.6039378628134727,0.6339636132121086,0.6170586034655571,0.628852716088295,0.6169021487236023,0.6017373636364937,0.5697001650929451,0.5930823668837547
20,-13.366798132658005,0.5838641732931137,0.5761350899934768,0.6091739594936371,0.609436048567295,0.605223661661148,0.6505685582756996,0.5907953515648842,0.567873640358448,0.5828574955463409,0.6134190917015075,0.6183494091033935,0.622311195731163,0.6008501261472702,0.6467249229550361,0.5772063717246055,0.558418607711792,0.5958163872361183,0.6361974164843559,0.6192053094506264,0.616166903078556,0.6215765088796615,0.6257905796170234,0.568253344297409,0.5714154899120331,0.6035525634884834,0.6346212312579155,0.6178887173533439,0.630314639210701,0.6177018344402313,0.6033625140786171,0.5668139740824699,0.5930336847901344
21,-13.37487405538559,0.5861398190259933,0.572832128405571,0.611000707745552,0.6069654062390327,0.6060818195343017,0.6485164150595665,0.5918912574648857,0.5674705937504768,0.5847021400928497,0.611719137430191,0.6194242596626282,0.6203152000904083,0.6012334436178207,0.6439815744757652,0.5785472825169563,0.558082377910614,0.5973513707518577,0.6361487492918968,0.6193203166127205,0.6146652236580848,0.6215138792991638,0.623106150329113,0.5702149778604507,0.5714109003543854,0.604446305334568,0.6349680557847023,0.6173886492848396,0.6297599136829376,0.616917809844017,0.601514233648777,0.5691417887806892,0.592887370288372
22,-13.382051199674606,0.5844489395618438,0.5743303507566452,0.6097573101520538,0.6086740329861641,0.6042146742343902,0.6506439432501793,0.5915670827031135,0.567707060277462,0.5830292016267776,0.6137462764978409,0.6183019787073135,0.6221263617277145,0.5994027465581894,0.6466358289122581,0.5773278906941414,0.5581225663423538,0.5966843500733375,0.637394754588604,0.6193165317177772,0.6157045051455498,0.6214404910802841,0.6249844714999199,0.568374028801918,0.571352219581604,0.6042589977383613,0.6355414226651191,0.6180355086922645,0.630883327126503,0.6175609290599823,0.6026772990822792,0.5669554755091667,0.5928070679306984
23,-13.387782335281372,0.5861455708742142,0.5717831760644912,0.6111508220434189,0.6067936405539512,0.6047145783901214,0.6491557791829109,0.5924191161990165,0.5674437716603279,0.5843622148036957,0.6125671327114105,0.6190321058034897,0.6207120180130005,0.5995178878307342,0.6445837900042534,0.5782718196511268,0.5578904956579208,0.5979198798537254,0.6375047996640205,0.6193951800465584,0.6145861878991127,0.6213734358549118,0.6228940024971962,0.5697875380516052,0.5713784158229828,0.6049805417656898,0.6359137281775474,0.61764927059412,0.6305701196193695,0.6169670879840851,0.6012635812163353,0.5686307683587074,0.5927172884345054
24,-13.39290338754654,0.5849351942539215,0.5727571904659271,0.6102907121181488,0.6079584494233131,0.6032009333372116,0.6507492497563362,0.5922649189829826,0.5676393941044807,0.5831223487854004,0.6141179412603378,0.6181700140237808,0.6220396071672439,0.5980193525552749,0.6465253219008446,0.5773724600672722,0.5578873515129089,0.597558481991291,0.6385353192687034,0.619433282315731,0.6152660384774208,0.6213419198989868,0.6241761729121208,0.5684171974658966,0.5713143706321716,0.6049405470490455,0.6364331379532814,0.6181324407458305,0.6314181894063949,0.6174753963947296,0.6020648315548897,0.5670064821839332,0.5926359578967094
25,-13.397145718336105,0.586170619726181,0.5708118885755539,0.6113404989242553,0.6065484568476677,0.6034081190824508,0.6497197732329368,0.5929319098591804,0.56747537702322,0.5840550124645233,0.6133359730243683,0.6186318308115005,0.6210725367069244,0.5979290813207626,0.6450389608740806,0.578017158806324,0.5577232748270035,0.5985550567507744,0.6387625023722648,0.6194986537098884,0.6144596919417381,0.621279439330101,0.6225562676787376,0.5694007784128189,0.5713641107082367,0.6055364742875099,0.6368317440152168,0.6178414806723594,0.631290203332901,0.6170395374298095,0.6010032579302788,0.5681625291705131,0.592580883204937
26,-13.400908350944519,0.5853272140026092,0.5713892638683319,0.6107729285955429,0.6072992071509361,0.602170518040657,0.6508832708001137,0.592919810116291,0.5676195904612541,0.5831532388925552,0.6145088136196136,0.617963245511055,0.6220285356044769,0.5966914653778076,0.6464150384068489,0.5773640111088753,0.557688108086586,0.5984212145209312,0.6396292433142662,0.6195627585053444,0.6148663446307182,0.6212848335504532,0.6233631506562233,0.5684099853038788,0.571321776509285,0.6055979862809181,0.6373210832476616,0.618183059990406,0.6319435894489288,0.6174322873353958,0.601524455845356,0.566976635158062,0.5925064072012901
27,-13.404147863388062,0.5862089902162552,0.5699180275201797,0.6115488618612289,0.6062611922621727,0.6021541863679886,0.650196461379528,0.5934606179594993,0.5675397798418998,0.5837811440229416,0.6140395313501358,0.6182153284549713,0.6214069932699203,0.5964387863874435,0.645349009335041,0.5777932539582252,0.5575781673192978,0.5992426410317421,0.6399359837174415,0.6196174904704094,0.6142773613333702,0.6212432295083999,0.6221092626452446,0.5690725803375244,0.5713807106018066,0.6061020329594612,0.6377236530184746,0.6179646983742714,0.6319414436817169,0.6171338468790054,0.6007300153374672,0.5677425846457481,0.5924765154719353
28,-13.4071244597435,0.5856409132480621,0.5701969921588897,0.61121586561203,0.6066992715001106,0.6011291056871414,0.6510425642132759,0.5935354813933372,0.5676668420433998,0.5831386357545852,0.6149273574352264,0.6177037864923477,0.6220952332019806,0.5953995794057846,0.6462920144200325,0.5773243144154548,0.5575178772211075,0.5992922618985176,0.6406767502427101,0.6196931883692741,0.61450265198946,0.6212624818086624,0.6225547924637794,0.5683647006750107,0.5713535457849502,0.6062452331185341,0.6381923541426658,0.6181991681456566,0.6324470847845077,0.6174286067485809,0.6010367408394813,0.5668817296624183,0.5924189671874046
29,-13.409799873828888,0.5862544387578964,0.569083085656166,0.6117910653352737,0.6059310272336006,0.6009348094463348,0.6506257489323616,0.5939759597182274,0.567641033232212,0.5835432469844818,0.614678418636322,0.6178074687719345,0.6217234939336777,0.5950340837240219,0.6455478951334953,0.5775898233056068,0.5574208110570907,0.5999880567193031,0.6410361662507057,0.6197444185614586,0.6140725448727608,0.6212342739105224,0.621587572991848,0.5687867760658264,0.571411794424057,0.6066751167178154,0.6386106297373771,0.6180322900414467,0.6325308740139007,0.6172376334667206,0.6004496350884437,0.5673578962683677,0.5924112781882286
30,-13.412281721830368,0.585886812210083,0.5691570997238159,0.6116132497787475,0.6061381235718727,0.6000646412372589,0.6512389913201332,0.5941195324063301,0.5677546396851539,0.5830888509750366,0.6153488367795944,0.6173951238393783,0.6222177952528,0.5941610693931579,0.6461714789271354,0.5772629961371422,0.557341119647026,0.600162236392498,0.6416869595646858,0.6198216661810875,0.6141663327813148,0.6212788730859756,0.621768681704998,0.5682822227478027,0.5714046865701675,0.606867878139019,0.6390670523047447,0.6181721076369285,0.632932236790657,0.6174610763788223,0.6006070807576179,0.5667410030961036,0.5923602566123009
31,-13.414623260498047,0.5863070100545883,0.5683102816343307,0.612041762471199,0.6055580511689186,0.5997530281543731,0.6510047301650047,0.5944961741566658,0.56776332706213,0.5833332151174545,0.6152563452720642,0.617390564084053,0.622035151720047,0.593720144033432,0.6456600859761238,0.5774168953299522,0.557259401679039,0.6007732883095741,0.642088396847248,0.6198783501982689,0.6138331279158592,0.6212703198194504,0.621000288426876,0.5685334712266922,0.5714741110801697,0.6072505250573158,0.6394921228289604,0.618038235604763,0.6330662131309509,0.6173467844724655,0.600177688896656,0.567009387910366,0.5923702701926231
32,-13.41688734292984,0.5860737472772598,0.5682552814483642,0.6119742304086685,0.6056165382266044,0.5989916533231735,0.6514465942978859,0.59467783421278,0.5678554162383079,0.5830127209424972,0.6157689154148102,0.6170485973358154,0.6224025249481201,0.5929521977901459,0.646051062643528,0.5771883264183998,0.557174465060234,0.6010523870587349,0.642663387954235,0.6199543163180351,0.6138366594910621,0.6213168412446975,0.6209849998354912,0.5681839197874069,0.5714735001325607,0.6074730888009071,0.6399377420544624,0.6181133523583412,0.6333958715200424,0.6175209641456604,0.6002433434128761,0.5665575996041298,0.5923528656363487
