iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
10,-13.292788416147232,0.5821258634328842,0.5873118810355663,0.6142032764852047,0.6137836746871471,0.6219784900546074,0.6532580427825451,0.5719703756272793,0.5734195098280906,0.589249624311924,0.6105362348258495,0.6244753398001194,0.6280851908028126,0.6222798623144626,0.6358453691005707,0.559783885627985,0.5705677404999733,0.6032961629331112,0.6282291434705257,0.6245802626013756,0.6227954164147377,0.6232175253331661,0.6106655992567539,0.5581814706325531,0.5891708008944988
11,-13.302644193172455,0.5820473939180374,0.5855402521789074,0.6144036822021007,0.6133523307740688,0.621533690392971,0.6540829859673977,0.5729119949042797,0.5727075323462486,0.589174984395504,0.611083748191595,0.6245713032782078,0.6278245098888874,0.6217328704893589,0.6364044159650802,0.5602110721170902,0.5698208346962929,0.6036721043288708,0.6296587608754635,0.624275429546833,0.6226416513323784,0.623491095751524,0.6099180974066257,0.5586959034204483,0.5889095984399318
12,-13.31125271320343,0.58172527551651,0.5842566065490246,0.6143140368163585,0.6133687071502208,0.6208381935954094,0.6551845394074917,0.5735474549233913,0.5721497371792793,0.5888772889971733,0.6119091682136059,0.6244266726076603,0.6279661305248737,0.6209625102579593,0.6372844636440277,0.5603235311806202,0.5692594036459923,0.6038874261081218,0.6310911051928997,0.6239263400435447,0.6228182300925255,0.6236688964068889,0.6094840712845325,0.5588467478752136,0.5888013862073421
13,-13.318964689970016,0.5816125631332397,0.5827849678695202,0.6144577734172344,0.6130857191979885,0.6202736184000969,0.6559563003480434,0.5742702059447765,0.5716214314103126,0.5887610003352165,0.6125260017812252,0.624450946599245,0.6277767367660999,0.620362813025713,0.6378009378910064,0.5605950005352497,0.5686951264739036,0.6042331479489803,0.6323718301951885,0.6236194357275963,0.6228371247649193,0.6239130966365337,0.6087573267519474,0.5592184275388717,0.5886181317269802
14,-13.32589516043663,0.5813750088214874,0.5815949462354183,0.6144676081836223,0.6130266062915325,0.6195765420794487,0.656847732514143,0.5748146794736385,0.5711979553103447,0.5885389283299446,0.6132762901484966,0.6243588425219059,0.6277898497879505,0.6196504034101963,0.6384529680013656,0.5606886990368366,0.5682405218482017,0.6045140795409679,0.6336259715259075,0.6233018323779106,0.6230248644948005,0.6241074077785015,0.6081910081207752,0.5593954235315323,0.5885185770690441
15,-13.332204699516296,0.5812382757663727,0.5803482256829738,0.6145998559892177,0.6128221325576305,0.618944688141346,0.6575562231242656,0.5753725789487362,0.5707972630858421,0.5884104803204536,0.6139204226434231,0.6243552215397358,0.6276272483170032,0.6190168507397175,0.6389001369476318,0.5608535058796406,0.5678179249167442,0.6048710517585277,0.6347751043736934,0.6230224952101707,0.6231313481926918,0.6243249349296093,0.6074833519756794,0.5596706926822662,0.5883815012872219
16,-13.337903648614883,0.5810410141944885,0.5792675785720348,0.6146694742143154,0.6127175562083721,0.6182564929127693,0.6582989566028118,0.5758302085101604,0.5704718813300133,0.58823032528162,0.6146206133067608,0.6243037082254886,0.627569267898798,0.6183329917490482,0.6393880605697632,0.5609247334301471,0.567449314892292,0.6051998011767864,0.6358795635402202,0.6227459594607353,0.6233343169093132,0.6245122574269771,0.6068505145609379,0.5598519653081894,0.588292183727026
17,-13.343142956495285,0.5808906465768814,0.5781882874667644,0.6147970728576183,0.6125468485057354,0.6175948068499565,0.6589351169764995,0.5762809388339519,0.5701838567852974,0.5880881384015083,0.6152658186852932,0.6242925621569156,0.6274364836513996,0.6176909156143665,0.6397604703903198,0.5610171057283878,0.5671153053641319,0.6055697374045849,0.6369071923196316,0.6224994346499443,0.6235009863972664,0.6247105620801449,0.6061505176126957,0.5600637555122375,0.5881876669824123
18,-13.347975105047226,0.5807074666023254,0.5772159270942211,0.6149100981652736,0.612417446821928,0.6169063434004783,0.6595688633620739,0.5766700081527233,0.5699370488524437,0.5879249408841133,0.6159238837659359,0.6242623873054981,0.6273420251905918,0.6170281268656254,0.6401367396116256,0.5610520042479038,0.566827817261219,0.605937423557043,0.6378876589238643,0.6222732201218605,0.6237048044800758,0.6248889289796352,0.605496684461832,0.5602251946926117,0.588100167363882
19,-13.352458417415619,0.5805423617362976,0.5762564711272716,0.6150476656854152,0.6122555159032345,0.6162397846579551,0.6601309351623058,0.5770423583686352,0.5697408899664879,0.5877781644463539,0.6165515951812267,0.62426553145051,0.6272236056625843,0.616388539224863,0.640431946516037,0.5610918797552585,0.5665627256035805,0.6063240490853786,0.6388099066913128,0.6220707878470421,0.6239036008715629,0.6250627659261226,0.604802543669939,0.5603953063488006,0.5880073331296444
20,-13.356603235006332,0.5803559482097626,0.5753819368779659,0.6151801519095897,0.612114655226469,0.6155590251088142,0.6606781505048275,0.5773793779313564,0.5695831462740898,0.5876239821314811,0.6171813927590847,0.6242611356079578,0.6271179117262363,0.6157402344048023,0.6407178401947021,0.5611035324633121,0.5663335606455803,0.6067166797816753,0.6396894328296184,0.6218828842043876,0.6241163894534111,0.6252243243157863,0.6041424073278904,0.5605275243520736,0.5879344217479229
21,-13.360505491495132,0.5801794588565826,0.5745309762656688,0.6153258852660656,0.6119512937963009,0.6148914977908134,0.661174850910902,0.5776938371360302,0.5694354012608528,0.5874760583043098,0.6177908949553966,0.6242732353508472,0.6270029194653034,0.6150978751480579,0.6409456342458725,0.5611063040792942,0.5661384001374244,0.6071372501552105,0.6405141226947307,0.6217137262225151,0.624325244128704,0.6253867469727993,0.6034713931381702,0.5606605023145675,0.5878622405230999
22,-13.36417332291603,0.5799851328134537,0.5737398289144039,0.6154686532914638,0.6117870084941387,0.6142254754900932,0.6616619400680065,0.5779851697385311,0.5693303629755974,0.5873231425881386,0.618390741199255,0.6242867656052112,0.6269038714468479,0.6144639946520328,0.6411567389965057,0.561088452488184,0.5659571573138237,0.607561769336462,0.6413007400929928,0.6215627327561378,0.6245518460869789,0.6255433432757854,0.6028142966330051,0.5607729762792587,0.5877980761229992
23,-13.367590188980103,0.5797867983579635,0.5729795567691326,0.6156136862933635,0.6116218887269497,0.6135724321007728,0.6620985887944698,0.5782606028020382,0.5692355766892433,0.5871742948889732,0.618975805491209,0.6243132300674915,0.626799876242876,0.6138340927660465,0.6413333922624588,0.5610635377466678,0.5657922759652138,0.6080060623586178,0.6420477800071239,0.6214345380663872,0.6247696116566658,0.6256981961429119,0.6021618641912937,0.5608757495880127,0.5877469353377819
