iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3]
1,-10.739529386162758,0.29363247908422513,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2,-11.269152700901031,0.2984241143032396,0.0,1.0,1.0,0.9886170645972434,0.9595215298863715,0.0,1.0
3,-11.385755330324173,0.29845744259318097,1.7926606340013982e-05,1.0,1.0,1.0,0.9566749768854395,0.0,1.0
4,-11.42079421877861,0.2999642121104431,0.0,1.0,1.0,1.0,0.9471496495969267,0.0,1.0
5,-11.42954820394516,0.3007888534507252,0.0,0.999252729279417,0.9992054544730639,1.0,0.939717449531309,0.0,1.0
6,-11.487148389220238,0.30205817323788764,0.0,0.9909396936695816,0.9909244675471607,1.0,0.9246583204243483,0.0,1.0
7,-11.510763719677925,0.30397109697515995,0.0,0.9738002362424816,0.9739516325688573,1.0,0.9005402287064578,0.0,1.0
8,-11.528648301959038,0.3026265918829582,0.0,0.9802904412221856,0.9803797728441064,1.0,0.9137924672746458,0.0,1.0
9,-11.528648301959038,0.30262659188293206,0.0,0.980290441222525,0.9803797728444137,1.0,0.913792467275434,0.0,1.0
