iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
27,-27.539638429880142,0.4581627138348084,0.43493919824429006,0.7655398787739849,0.7323258924878349,0.3955869203262319,0.746578720870165,0.4156867241983026,0.3880159274788731,0.7485404146003048,0.6914881226243041,0.7522884597242889,0.7946633693960394,0.36843097680234516,0.8074390157376853,0.36178695068200567,0.359209059583848,0.6959970450362071,0.4323148206173586,0.41212729083604,0.6805316789020734
28,-27.55485799908638,0.45906693076096056,0.43514296974387523,0.7696139592094209,0.7302982192964161,0.3977566783444143,0.7473048280376994,0.4121827003346842,0.3866096584765567,0.7449883998673766,0.6900087860214408,0.7558107325862553,0.7954952202618055,0.36536112120979014,0.8121593449327381,0.3611592348740651,0.35881051711859663,0.6954847558045334,0.43642891275360957,0.4160823380457099,0.6782169294081354
29,-27.555559784173965,0.4595239611416388,0.4351885700941166,0.7724165313501117,0.7287759330278945,0.3992828522261647,0.7478997433670679,0.4097897191098008,0.3856821857378704,0.7426286486229717,0.6888933453805024,0.758465760332609,0.7960107028871375,0.363133024549165,0.8156509729289271,0.36084066500878303,0.358449165157686,0.6950440355629747,0.43943943073055236,0.4189979558214967,0.6763254671439273
30,-27.555599451065063,0.4595284549182096,0.4351893425333989,0.772440022913775,0.7287632578414814,0.39929587629843916,0.7479047529485797,0.4097698552550876,0.38567425010915696,0.7426078754290129,0.6888841009062361,0.7584873031838844,0.79601538877458,0.3631151301344788,0.8156801892399722,0.36083801249457975,0.3584471933258038,0.6950404562525769,0.4394646610539132,0.41902163487038513,0.6763099409800164
31,-27.55609381198883,0.4595193023090482,0.4351825773759477,0.7725050943933276,0.7286140890904226,0.39923062902229434,0.748051614021242,0.409870673066789,0.3856947932049658,0.7427181578963207,0.6887243994419676,0.7586355714621428,0.7960437537922258,0.36295805523018015,0.8158414304384709,0.36063489240806923,0.35829966492915194,0.6948547894247785,0.43960749035289803,0.4191822057269637,0.6761157257869598
32,-27.5563285946846,0.4595225686470256,0.4351615381747269,0.7725597660401721,0.7284985473805801,0.3991717518381376,0.7481555300506536,0.40994181824762477,0.38570975508190625,0.7428461004882692,0.688591962962829,0.7587653207596056,0.7960589829545347,0.36282163663670947,0.8159787166138925,0.36047015628724594,0.35812972699446055,0.6947190076873161,0.439707426815893,0.41935060776087946,0.6759329300095693
33,-27.556927740573883,0.4595583891931673,0.43520052540798476,0.7723940407237662,0.728313957642109,0.3986939735084185,0.7483507481841184,0.4106437917437663,0.3858824234494768,0.7435517833915548,0.6882323880191998,0.7589470369477017,0.796240357564085,0.362757706096739,0.8161361745864403,0.36030012998059263,0.35763752257735604,0.6941856407062315,0.43971581219007816,0.41959598111595714,0.6752948115292405
34,-27.561931431293488,0.4596316501062387,0.4354961437627521,0.7719007680326941,0.7284210466261081,0.39826060259398693,0.7483447051980244,0.4114530881266975,0.3861719798590743,0.7440340061993183,0.6883170905652014,0.7584336468950702,0.7963526608607905,0.36344248045195937,0.8160757099682122,0.3604749679143082,0.35759386259626014,0.694165943311931,0.43900583667236326,0.41936753407846017,0.6749596019470399
35,-27.56744772195816,0.4599997315405378,0.4355327120697775,0.771450376265983,0.7287127464500142,0.3979821598117537,0.7484116201975284,0.41191890481633797,0.38664938768337653,0.7443728588512066,0.6890668823753952,0.7577610363518898,0.7958812179805301,0.36486810501665834,0.8154046827555329,0.3608848196370352,0.3578941796134707,0.6945745359324592,0.4379517880059808,0.4193047700396134,0.674967298506273
36,-27.567743062973022,0.46013797050109007,0.4355554971706693,0.7712541132369926,0.7288256203801258,0.39783793028356956,0.7484302253798835,0.4121447656541816,0.3868436143060395,0.7445544554800024,0.6893392961339232,0.7574935065576679,0.7957213494252414,0.3654247063537461,0.8151634700037366,0.36104409399535653,0.35797718816345875,0.6947127096875254,0.43751547111941974,0.4192723125087306,0.6749453879993942
37,-27.56780844926834,0.46013935184037236,0.43555493770280873,0.7712528576235035,0.7288260265646556,0.3978369850430226,0.7484305058668724,0.41214564036160933,0.38684500956374335,0.744556318124693,0.6893407270643332,0.7574922523999071,0.7957199679075222,0.3654274756211903,0.815161932750476,0.3610450501507809,0.35797695045523903,0.694713689223991,0.4375132993920406,0.4192730230800959,0.6749448100322124
38,-27.567824631929398,0.46028008909985446,0.4355345926943258,0.7711093375765797,0.7289280275632751,0.3977660385192059,0.7484258550906149,0.4122341153952474,0.3869773426675764,0.7446639854249913,0.6895518887870687,0.7572952291634656,0.7955746894426894,0.3658082038778506,0.8148920873821227,0.36117656887893473,0.35807696468847855,0.6948516425601673,0.4372312277885291,0.41925895304524585,0.6749783897191249
39,-27.567824631929398,0.4602800890999766,0.4355345926943092,0.7711093375764764,0.7289280275633891,0.39776603851913805,0.7484258550905925,0.41223411539530214,0.3869773426676924,0.7446639854250716,0.6895518887873151,0.7572952291632827,0.7955746894425477,0.3658082038782255,0.8148920873818889,0.36117656887907906,0.3580769646885471,0.694851642560315,0.43723122778823653,0.41925895304521166,0.6749783897192143
