iter,energy,gamma[0],beta[0],gamma[1],beta[1]
87,-9.857803136110306,0.2203401209786534,0.41310382857918737,0.3330988589674234,0.19678847715258596
88,-9.862978041172028,0.21878317315131424,0.4124161101877689,0.3316241059452295,0.19636996313929556
89,-9.86784416437149,0.2172825815156102,0.41174201145768163,0.3301859203726053,0.19596033021807668
90,-9.872458159923553,0.21583192367106674,0.4110857047140598,0.32878272272646425,0.19555165097117422
91,-9.876789838075638,0.21442501563578842,0.41044815853238104,0.32741886414587495,0.1951528064906597
92,-9.880904853343964,0.21306540388613937,0.4098226971924305,0.326086700335145,0.19476394578814504
93,-9.884790450334549,0.2117467852309346,0.4092124797403812,0.3247881237417459,0.19438415989279745
94,-9.888473480939865,0.21047008354216812,0.4086193539202213,0.32351864911615846,0.194010304659605
95,-9.891964375972748,0.20923063475638626,0.4080385960638523,0.32228244878351686,0.19364308044314382
96,-9.89528203010559,0.2080318661406636,0.407462889701128,0.32107630409300325,0.19328713640570638
97,-9.89841079711914,0.20686853248625992,0.40690004304051397,0.31989890374243257,0.19293189272284506
98,-9.901386797428131,0.20574201960116623,0.40634715035557745,0.31875072456896303,0.19258362278342245
99,-9.904226303100586,0.2046468736603856,0.4058090396225452,0.3176296059042215,0.19224354848265646
100,-9.906908959150314,0.20358127672225235,0.40528702214360235,0.3165341023355722,0.19190743789076803
101,-9.909476280212402,0.2025425614789128,0.4047705329954624,0.31546327508985994,0.19158399328589437
102,-9.911917984485626,0.2015350194647908,0.4042582310736179,0.31441840566694734,0.19126536175608633
103,-9.914227336645126,0.20055304784327743,0.4037588484585285,0.31339876390993593,0.19095216915011404
104,-9.916430801153183,0.19960096795111892,0.4032666184008121,0.31240329183638094,0.19064237400889394
105,-9.918543130159378,0.198673609085381,0.4027839101850986,0.3114275638014078,0.1903419069945812
106,-9.920552551746368,0.19776934701949356,0.40230790749192236,0.3104734871536493,0.19004728123545644
107,-9.922480672597885,0.1968888374045491,0.40184632912278173,0.309541792050004,0.18975533768534658
108,-9.924302726984024,0.19603476244956253,0.4013946451246738,0.3086335364729166,0.18947155997157095
109,-9.926053881645203,0.19520078916102646,0.4009447194635868,0.3077426258474588,0.1891875438392162
110,-9.927721500396729,0.1943871261551976,0.40050854757428167,0.3068719659000635,0.18891307935118673
111,-9.929323136806488,0.19359495062381027,0.400071258097887,0.3060201112180948,0.18864828571677206
112,-9.930842816829681,0.19282035846263168,0.39964131489396093,0.30518417097628114,0.18837967738509176
113,-9.932324230670929,0.19206616599112747,0.3992272116243839,0.30436526276171205,0.18811443671584127
114,-9.933727741241455,0.19132814127951858,0.3988143153488636,0.3035656664520502,0.1878554545342922
115,-9.935055881738663,0.19061002451926468,0.3984122671186924,0.3027844879776239,0.1876025669276714
116,-9.936347931623459,0.18990578074008224,0.39801509156823156,0.30201616920530794,0.18735666796565054
117,-9.937585234642029,0.18922032732516525,0.3976226396858692,0.3012637052685022,0.18710822090506551
118,-9.938777059316635,0.1885490896180272,0.3972377575933933,0.3005260530859232,0.18686741814017294
119,-9.939899414777756,0.1878958227112889,0.39685812070965765,0.29980580545961855,0.18663224801421163
120,-9.941000282764435,0.18725937921553848,0.3964847274124622,0.29909929670393465,0.18639998361468313
121,-9.942042291164398,0.18663479704409836,0.39611838236451147,0.29840469397604463,0.1861713849008083
122,-9.943024665117264,0.1860235961154103,0.3957574762403965,0.29772764481604097,0.18595105633139608
