iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
15,-10.825007140636444,0.5023687466979027,0.5905390962958336,0.5971122108399868,0.4368866592645645,0.6000190064311027,0.6885861814022064,0.6724573172628879,0.5374374337494373,0.6843579173088074,0.6281230956315994,0.6123074650764465,0.45830312222242353
16,-10.937166899442673,0.4985578790307045,0.5873008355498314,0.594900967925787,0.4345947265625,0.5987809583544731,0.692661902308464,0.6757173784077167,0.5394557364284992,0.6893724858760834,0.6286628603935241,0.6158690810203552,0.455206198990345
17,-11.035925149917603,0.49497501403093336,0.5842569306492805,0.5926088713109493,0.4324143290519714,0.5979234710335731,0.6963854640722275,0.6790398605167866,0.5414320923388004,0.6939590781927109,0.6292598009109497,0.6193162262439728,0.45254836827516554
18,-11.122727245092392,0.49161009341478346,0.5814311787486076,0.5902741126716137,0.4303438276052475,0.5974495247006416,0.6997809767723083,0.6823778994381428,0.5433644749224186,0.6981467217206955,0.6298988074064255,0.6226259082555771,0.4503032103180885
19,-11.19906160235405,0.4884495422244072,0.5788383767008781,0.5879262708127498,0.42838474214076994,0.5973528757691383,0.7028887033462524,0.6856922157108783,0.545247907191515,0.7019730567932129,0.6305546522140503,0.6257970690727234,0.44845756739377973
20,-11.266507506370544,0.4854730948805809,0.5764842167496681,0.5855887852609157,0.4265460431575775,0.5976110532879829,0.7057434231042862,0.6889512784779072,0.5470909275114536,0.7054803729057312,0.6312171429395675,0.6288245677947998,0.4470039889216423
21,-11.326530784368515,0.4826647326350212,0.5743653461337089,0.5832869283854961,0.4247948884963989,0.5982082322239876,0.7083896160125732,0.6921247489750385,0.5488947428762913,0.7086956113576889,0.6318801701068878,0.6317135602235794,0.44591344743967054
22,-11.380410552024841,0.4800082430243492,0.5724760875105858,0.5810249917209148,0.4231471478939056,0.599113954603672,0.7108586937189102,0.6952043421566486,0.5506656415760517,0.7116436570882797,0.6325298458337784,0.6344696491956711,0.44516233950853346
23,-11.429405897855759,0.4774851486086845,0.5708001241087913,0.5788245223462581,0.4215750008821487,0.6002926215529442,0.7131842583417892,0.6981823243200779,0.5524023719131946,0.714367589354515,0.6331715494394302,0.6371011793613434,0.4447332456707954
24,-11.4745112657547,0.4750866428017616,0.5693203195929527,0.5766783528029918,0.42007306814193723,0.6017278119921684,0.7153854578733444,0.701051677018404,0.55410231128335,0.7168886572122574,0.6337982028722763,0.6396250933408737,0.4446064218878746
25,-11.516512244939804,0.47280284613370893,0.5680229946970939,0.5745929948985576,0.4186274915933609,0.6033888593316078,0.717498904466629,0.7038235910236835,0.5557648785412311,0.7192333102226257,0.6344116240739822,0.6420383512973785,0.44475951641798017
26,-11.556246995925903,0.4706152811646461,0.5668862745165825,0.5725819490849972,0.4172199726104736,0.6052524283528328,0.7195393353700638,0.7064938046038151,0.5573860950767994,0.7214193403720855,0.6350135266780853,0.6443612039089203,0.4451675400137901
27,-11.59416288137436,0.4685186579823494,0.5659040197730064,0.5706369005143642,0.4158536851406097,0.6072975680232048,0.721523842215538,0.7090735532343387,0.5589775390923023,0.7234694719314575,0.6356180369853973,0.6465999245643616,0.4458098694682121
28,-11.63076788187027,0.4665061071515083,0.5650520011782646,0.568760784715414,0.41451931595802305,0.6095089599490165,0.7234664767980575,0.7115701235830784,0.5605265744030475,0.7253998577594757,0.63621706366539,0.6487592220306396,0.4466690108180046
