iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
2,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
3,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
4,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
5,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
6,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
7,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
8,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
9,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
10,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
11,-18.35625784099102,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.6074999999999997,0.5399999999999996,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997,0.6074999999999995,0.6074999999999997
