iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13]
12,-13.27418264746666,0.4526768473568346,0.5922880469266764,0.589462983866976,0.7055729906564385,0.5582692857730361,0.6672288850970011,0.6409972156575473,0.6486367037081107,0.5900295295900395,0.5801341881928378,0.629905620173373,0.6881783269405025,0.606276660469274,0.5613803116343214,0.6161955192378404,0.5845497254431501,0.5712962341000871,0.5841310432121599,0.5937611021504133,0.5412720809273772,0.6071726336812546,0.48576499088045066,0.5130724266400575,0.4539521055479815,0.6146252317403998,0.568162198599364,0.6034576179752088,0.43376296538935094
13,-13.344109565019608,0.43098009117055613,0.5827594608192185,0.5824679478567318,0.7139590148470029,0.5576000934755251,0.6764682096419457,0.6342530551980838,0.6533900590035453,0.578618296329377,0.5651050805566574,0.6278689179656014,0.7024363708289413,0.5899167541482604,0.5481659505611155,0.6168243017894869,0.5791535068201253,0.5840399115410363,0.5875279256541566,0.5893609963132617,0.5348635661259943,0.5945163480337415,0.47948525484668414,0.48352512249842644,0.46560769998031787,0.6075917449619256,0.5716509930079389,0.6116425619856325,0.4133210647646659
14,-13.369914650917053,0.4156999235623846,0.571160148355673,0.5733816747970863,0.7172623241446477,0.5585798951485874,0.6790529773548168,0.6263929446046144,0.6591181818957512,0.57679963669873,0.5603559974247255,0.6264055272599669,0.7089432497475637,0.5810027985240324,0.5358132857955304,0.6136299385508428,0.5793920320792474,0.5990465242331329,0.5883313530342461,0.5852396668064107,0.5373739144038537,0.5828386159100639,0.475834391346152,0.4634293981325457,0.47588400758346916,0.6022831387885698,0.581573360709117,0.6133296638701766,0.3988892002451865
15,-13.396472156047821,0.42236390475652014,0.5759780937010605,0.5765564684272559,0.7151910074735953,0.5595265809407269,0.6758769862933128,0.6293708787146188,0.6587631502844452,0.5794990479195609,0.5651840961231187,0.6253831253583131,0.7045316770846481,0.5882665209097655,0.5406648609815041,0.6105761250591205,0.5788487232681473,0.5924273236162652,0.588935618276172,0.5851830617275865,0.5393694760581861,0.5862239860217742,0.4750216978287635,0.4719289801347534,0.47244687908428695,0.6050686488416389,0.5780947483502764,0.6107972190958305,0.4073206876028007
16,-13.401334255933762,0.42017294339383676,0.5764654809183103,0.5751176102499372,0.7153568363302301,0.5609879694140029,0.6764666544474108,0.6275948709540166,0.6588145278813087,0.5775855862270304,0.5648514576480345,0.6243137748012948,0.7054166768298815,0.5881131857184592,0.5395837505434491,0.6094747982980856,0.578057577824557,0.5936397552577092,0.5911323340125982,0.5845083890170218,0.5392930687947156,0.5853230721301297,0.47490263295481194,0.46808673349992613,0.47446114368579756,0.604714029271462,0.5777957853926872,0.6109376647659893,0.4064666344138041
17,-13.404297292232513,0.42188627527174033,0.5785452435552412,0.574084698150553,0.7140758984082319,0.562618087797979,0.6750148791568967,0.6265438557151252,0.6566249396015043,0.5774346430198053,0.5678960713903167,0.6240003765129049,0.704869602154574,0.5912795887107725,0.5407648100027989,0.6101852141224154,0.5783750138569651,0.591549794626306,0.5937960127214708,0.5856245257240508,0.541072981882677,0.5883079031260781,0.47768927451848975,0.46939786169627573,0.47310151090418606,0.6056470355905057,0.5764215854509086,0.6107615767485352,0.409147297899971
18,-13.406133979558945,0.41669278904320706,0.5797584981914643,0.5699938324565603,0.7140391540352725,0.5647849664998129,0.6768603596309473,0.6254087988892824,0.6549470214178089,0.5768816470071984,0.5675744135194603,0.6228482666119223,0.7070458924017995,0.5904905352773826,0.5385161418532575,0.6117421165642319,0.5774458671160796,0.5932518763827085,0.5979182076839702,0.5863406021045451,0.5413554952993734,0.5890789148448649,0.4796028678359814,0.4622935473039942,0.4730677888163737,0.6052510804113974,0.5780016866128359,0.6130411280897186,0.40571127774199206
19,-13.41642901301384,0.4141028076278444,0.5788948090390958,0.56871243641409,0.7137195926871793,0.5641816051834025,0.6796359638645038,0.6264176489207024,0.6555122993828943,0.579919261782231,0.5660824284025884,0.6227472549903292,0.7075100940739356,0.5905393381062719,0.5353616606867411,0.6105621083776281,0.5778841436777102,0.5964493009112631,0.5956947370568314,0.5859030062222746,0.5390089981341915,0.5866479410080563,0.4796713086260591,0.4601995447907621,0.4734866503245877,0.604339066091211,0.5806477173256073,0.6124093477171817,0.40368979351908013
20,-13.421555638313293,0.41423880681691344,0.5786187289678633,0.5700578416742688,0.7141864923736636,0.5629795996038679,0.6795895679016922,0.6277927813785749,0.6568518369630179,0.5809169885975475,0.5659657211452744,0.6220440291446415,0.7060977110737516,0.5908210705831572,0.5362022272634881,0.6097776480559781,0.5789005333442897,0.5954996748547335,0.5946922328560172,0.5858627027237542,0.5394281307180383,0.585195517395974,0.4785607958375315,0.46327575232169704,0.4730370714384796,0.6047284959533645,0.5800561188783088,0.6108332869002351,0.4046509122364566
21,-13.425696164369583,0.4112262250207021,0.5783084571137543,0.5691137412152243,0.7146766656343791,0.5630100686450725,0.6797855022545353,0.6279388135707613,0.657617080265809,0.5807419763053773,0.5652046547832993,0.621665064933679,0.7064927452124253,0.5899142802220152,0.5353527743284722,0.6086423890835823,0.5789433338227417,0.5954423366660746,0.5960489338070984,0.5856541313755977,0.5393535221737882,0.5844819369110638,0.47843973081718527,0.4614528187452638,0.473672843637796,0.6049801880641041,0.5797868917770336,0.611108347153181,0.4030474483809725
