iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7],gamma[8],beta[8],phi[8],gamma[9],beta[9],phi[9],gamma[10],beta[10],phi[10],gamma[11],beta[11],phi[11]
15,-16.80097734928131,0.59359142551021,0.604571292919541,0.6277946637569536,0.649709551667425,0.6187961137454402,0.6068690419173266,0.5711888861923229,0.53805685647301,0.5163497471865246,0.620183611984311,0.6380561766882139,0.6618578604871749,0.587703284849344,0.5901746017453319,0.5743875867153052,0.5295768348735328,0.583426898236013,0.6356479460829492,0.5971384339933966,0.6585841286377465,0.6225393609640298,0.5628144184082822,0.5574102460309164,0.5868174362764423,0.5542469313857271,0.6350394651639227,0.7180857341615101,0.6238683039595591,0.6604212262726773,0.5581128692760062,0.5647430207612403,0.6309821928113736,0.6067510689563039,0.6662710883583245,0.5978962557126113,0.5503502289694701
16,-16.801616430282593,0.5933224003512566,0.6042777901504336,0.6273770335615325,0.6494392110868585,0.618351941644079,0.60703860343712,0.5712608695158972,0.5382621958252727,0.5165237305199684,0.6203543773117303,0.6381681032017649,0.6615772133595436,0.5874801238212478,0.5900515835464466,0.5744257264722188,0.5294332049271956,0.5834741492939202,0.6356406372944798,0.596716557473853,0.6583153934687579,0.6228328775867507,0.5625423754979728,0.5574055704422601,0.5868152952562126,0.5546861376147793,0.6352782140930215,0.7178705392987809,0.6237113197189679,0.6605705182413611,0.5583875674659563,0.5644134568709126,0.6310720164148036,0.6068927827826014,0.6657651816702183,0.5977156826566112,0.5505778329045509
17,-16.80214762687683,0.5932094386071726,0.6042961007046656,0.6273746813669218,0.6496531037712557,0.6182589395803282,0.6068850786500425,0.5712820396553256,0.5377981595497825,0.5163600341610805,0.620286832531689,0.6382340552446278,0.6620254990766666,0.5870845236721731,0.5899653374569712,0.574438644915415,0.5292763828046066,0.5835950709578237,0.6360701365261023,0.5964614323972114,0.6582827336302586,0.6230970082990107,0.562196187262755,0.5569739887392933,0.5867177638483091,0.5549262971192938,0.6357161757548536,0.7181078091819146,0.6233314074936119,0.66087708498081,0.5583846875730066,0.5640053607172333,0.6310037795875711,0.6070650597439355,0.6656680912229772,0.5978415780262668,0.5504666470664398
18,-16.802148312330246,0.5931922304036623,0.6042758748127524,0.627376009933154,0.649684517133637,0.6182563648804986,0.606863004410831,0.5713018176699957,0.5377307694107422,0.5163157731383171,0.6202785661282998,0.6382447650275456,0.662116747507475,0.5870198260418219,0.5899440169748713,0.5744352836366254,0.5292386462941403,0.583600694270647,0.6361225653085743,0.596404210565184,0.6582871274771878,0.6231419430843892,0.5621234573499412,0.556910068036487,0.5866962202998591,0.554957287376454,0.6357868668862721,0.7181349632516556,0.6232756165944,0.6609392279329223,0.5583839221336392,0.5639248945650165,0.630996943665552,0.6071030939720943,0.6656492580926454,0.5978495934514205,0.5504445337904658
19,-16.80242508649826,0.5931599082138378,0.6043051267710389,0.627448919514414,0.6497913307404771,0.6182902115257203,0.6067959326387014,0.5713185923269447,0.5375860736391711,0.516132863529957,0.620306976335895,0.6382960885415638,0.6623552942172971,0.5869235418226699,0.5899008083590921,0.5744053570581129,0.5291453261012744,0.5835679973392279,0.6362707936849573,0.5963699081800302,0.6583441659559824,0.6232438836778998,0.5620317264896377,0.5567613641922587,0.5866571143417949,0.5549419980135168,0.6358667016161882,0.7182627920697108,0.6231982615758949,0.6610909783531609,0.5583349955882836,0.5637110102973016,0.6309052879764213,0.6071291301967068,0.665646839547522,0.597834969056874,0.5503480303189003
20,-16.80263641476631,0.5931161164726813,0.6043212174836691,0.6275020802737752,0.6498752413428347,0.6183219101866685,0.6067586683983861,0.5713481895648733,0.5374659894513757,0.5159479355828597,0.6203385166562793,0.6383395452716711,0.6625688619272306,0.5868444817915603,0.5898561782518209,0.5743713509967792,0.5290439501455115,0.5835111462163786,0.6363732565384783,0.59633334295195,0.6584032557024955,0.6233388908881663,0.5619403196685852,0.5566438983613949,0.586620061701059,0.5549200280210898,0.6359232345839445,0.7183727585735422,0.623154515688673,0.6612115565977911,0.5582850832640216,0.5635273436367998,0.6308330658215838,0.60715266610115,0.6656446342885398,0.5977963474774199,0.5502643793203579
21,-16.802650719881058,0.5930851428058398,0.6043249582525133,0.6275062397153589,0.6498936285815312,0.6183063345638848,0.6067494167847308,0.5713569368365047,0.5374345913727283,0.5158992650275258,0.6203585377649741,0.6383586384375594,0.662616262786171,0.5868115516988339,0.5898388877621069,0.5743611750615608,0.5290088735693588,0.5835002140957088,0.6364116508070362,0.596310082738825,0.6584068893642709,0.6233856623477521,0.5619097338167549,0.5566058146934618,0.5866121005396335,0.5549278347833857,0.6359423433051818,0.7184046870584304,0.623131018640895,0.6612539756451178,0.5582803180047228,0.5634553010093661,0.6308059185982072,0.6071604988955843,0.6656207180287806,0.597780464133876,0.5502475826250491
22,-16.802655547857285,0.5930826986001697,0.6043241184281023,0.6275066751607803,0.6498933568136392,0.6183049751586458,0.6067487919787828,0.5713595853932896,0.5374340101235222,0.5158950801498997,0.6203595863433512,0.638358620360206,0.6626185082844577,0.5868107365867414,0.5898375535787671,0.5743600536668331,0.5290053580796075,0.5834980126272927,0.6364110073905694,0.5963074188705119,0.658408166995796,0.6233891268629617,0.561907941968906,0.5566062936168333,0.5866123039441834,0.554924987005923,0.6359400006253184,0.7184053344264494,0.6231311535493559,0.661255982152989,0.5582793291198295,0.5634510700474069,0.6308045860098133,0.6071611409827852,0.6656185506168978,0.5977775418592229,0.5502465202972523
23,-16.802677035331726,0.5930813166474733,0.6043245499153237,0.6275082144786771,0.6498949421002995,0.6183055139072021,0.6067480551866365,0.5713605155114495,0.5374323926508161,0.5158906362979278,0.6203610220978366,0.6383596080355034,0.6626221350543765,0.5868098335934092,0.5898365909537062,0.5743590026297632,0.5290031006948652,0.5834962724303194,0.6364125502984193,0.5963070526383163,0.6584096731293324,0.6233913822467604,0.5619068564776374,0.5566046211162287,0.5866118409724312,0.5549233413950188,0.6359394165825362,0.7184076501685547,0.6231310125004899,0.6612584477331973,0.5582782960355466,0.5634470640038524,0.6308023674344099,0.6071610519291127,0.6656183616043807,0.5977761815784554,0.5502447225560587
24,-16.80271938443184,0.5930040028760343,0.6043187746852804,0.627516701484896,0.6498687212922,0.6182827349884049,0.60679715169456,0.5713816240197543,0.5375455233550359,0.515767660992164,0.6205021852209726,0.6384221203085911,0.6625770996463118,0.5868658190303317,0.5898040691619293,0.5743108696193677,0.5289398545289408,0.5833890060954502,0.6363727792394224,0.5963388926159681,0.6584397272162202,0.6234578472143278,0.5619520208954593,0.5566494031977676,0.5866234767523133,0.5548541486045618,0.6358060455693822,0.7184298860234591,0.6232266440725097,0.6612971882148054,0.5582826782249303,0.5633379833464853,0.6307128791246601,0.6070998038663161,0.6655655017682122,0.5976517313728843,0.5502339638767193
