iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5],gamma[6],beta[6],phi[6],gamma[7],beta[7],phi[7]
13,-27.664202719926834,0.577570890203976,0.5676345927396719,0.519167584543584,0.6147626410430669,0.5649346773425188,0.6576375466508282,0.5239705663086852,0.533554168488475,0.6062904433860452,0.627836063991988,0.6015092500348233,0.6227981326254318,0.567228139409859,0.5784432118168541,0.6463931741211099,0.6007861590418029,0.6328613183318494,0.5879132400518474,0.6121596508303188,0.544407025138379,0.5303789273726962,0.5522521482590417,0.526828505517107,0.6459748575335356
14,-27.671417266130447,0.5775498136866588,0.5667754223669086,0.5200674465790166,0.6144888300975341,0.563816784875693,0.6575580313658368,0.5235644010584182,0.5332638192805845,0.6078083737658938,0.6280659579742268,0.6001215627924211,0.6229182817040269,0.5669356395925468,0.5773087786625397,0.6456296464815533,0.6016014735043131,0.6328534523828093,0.5904410031214611,0.6122251533838337,0.5446592800729821,0.530464884349342,0.5517778433656292,0.5279094352744355,0.6446145827294396
15,-27.682061105966568,0.5775975696268669,0.5669804104451611,0.521031586655946,0.6145145437866201,0.5635754887669099,0.6584313860977027,0.5239859784192357,0.5338162384598241,0.6075289806778503,0.6283046444594595,0.5998116344169157,0.6218126159920179,0.5671047912435321,0.5777112094783646,0.6449382243954693,0.6026076665722668,0.6327473247558557,0.591960197722834,0.6119807473471542,0.54593804178864,0.5310722167802399,0.5518236991404418,0.5290831468462072,0.6425639357241684
16,-27.686380922794342,0.578867536255435,0.5677587059052989,0.5211905552231253,0.6136522595713905,0.5629194950324464,0.6590639430094944,0.5238750791270592,0.5325974193364182,0.6070620564554332,0.6283902417681021,0.6004896339945192,0.6207754736385317,0.5680532646981207,0.5781933268997648,0.6447330958543054,0.6020678642601289,0.6326513882773764,0.5918917460451347,0.6120990393287513,0.5465585072959164,0.5312666400430759,0.5507985695618806,0.5293359230492931,0.6408391416720058
17,-27.68961465358734,0.5787666939685813,0.5679183357261921,0.5210100800314188,0.6141615617519366,0.5628072282139398,0.6584679803908423,0.5241407460108253,0.5319743363846748,0.6074858678845015,0.6284103419308055,0.6003505073357193,0.6209107554205409,0.567812273343896,0.5779782544959675,0.6447409602951081,0.6018119286309459,0.6324106135409767,0.5922083094366,0.6129265827116414,0.5463980392767857,0.5316949791617058,0.5502190842556136,0.5291513298444844,0.6410724535378083
18,-27.691681027412415,0.5791172825319211,0.568673399862302,0.520329425960804,0.6142024610460023,0.5630754234594882,0.6579611085286188,0.5242288919277822,0.5311261419781554,0.6070798004294164,0.6277366891276973,0.6009874575756186,0.6208648485725656,0.5681362249499136,0.5782667463470037,0.6453635625582086,0.6008700590637729,0.6319739946039128,0.5906895826079843,0.6134636907273457,0.5458612770491399,0.53162934206415,0.549985109924858,0.528089974119624,0.6420825533604781
19,-27.692254930734634,0.5793990400178641,0.5686469412187294,0.5198373470606361,0.6142928925194933,0.5622457322944484,0.6573093194029136,0.5240028630875448,0.5307748796861552,0.607762476390986,0.6276251639177656,0.6007986815759495,0.6209958217844099,0.5683500132016547,0.5779265413049207,0.6454744070144781,0.6006794580899262,0.631630673560132,0.5906832056649391,0.6130735073246086,0.5453049476405929,0.5315954397523768,0.5498665380075942,0.5278990843247823,0.6423643379551092
20,-27.69251775741577,0.5797231700728783,0.5689069430804454,0.5195596085570847,0.6142258623641111,0.5620214848772884,0.6570754729829066,0.5239903331607028,0.5303644985540862,0.6078494004050694,0.6274929448085652,0.6008962277191041,0.6208755657909222,0.5686048500971997,0.5779062786255433,0.645636232304495,0.6004206913349925,0.6314135954199899,0.5905156821424921,0.6131212513731863,0.5451241100644668,0.5315815991935192,0.5497188971743938,0.5277818837386231,0.6424225601758877
21,-27.6971295773983,0.5828494936554586,0.5716071583227058,0.5180607397673912,0.6130940473963252,0.5605853251956767,0.6565592851637634,0.5241693268418678,0.5277190285320501,0.6075045668656521,0.6262237423576862,0.602055025344694,0.6185173224917452,0.5713348269817717,0.5785040640966211,0.646922567850881,0.5990156210841737,0.6296350518847437,0.5894454297706887,0.6130851280023336,0.5449674948469228,0.531352062613085,0.5490140159775234,0.5277466714762805,0.6411268446709024
22,-27.700913220643997,0.5823908859629847,0.571642868073865,0.5183942589449421,0.6132866410912009,0.560805811981058,0.6575510831864654,0.5243916843441339,0.528215343767425,0.6074040159839336,0.6263502584864783,0.6017901772846828,0.6193599909934099,0.5707556716165685,0.5784319671811275,0.6467499353799339,0.5992401244106415,0.6302344506276457,0.5898988947696333,0.6129013816959277,0.5454090073047607,0.5313864612229636,0.5495099030730469,0.5279483138987254,0.6414191003812254
23,-27.703159511089325,0.5830420485698854,0.5720621682962247,0.5182614459004234,0.613500156825448,0.5604912603287002,0.6581654316596178,0.5240747637265113,0.5280910465212835,0.6077864494305864,0.6259458010093182,0.6017089848142463,0.6202755783336205,0.5706143287745832,0.5782153292371444,0.6469743959051781,0.5991063636253339,0.6302296955367485,0.5902031939063827,0.6126793446383343,0.5457074584284966,0.5314559267051443,0.550156942825245,0.5279288451218155,0.6418412862738477
24,-27.70654648542404,0.5846320236476814,0.5734201818049227,0.5173777223632703,0.6130519829382085,0.5595944187368735,0.6585048875151983,0.5240386532388988,0.5269479134011776,0.607944276112156,0.6251112924746745,0.6019364706627495,0.6197934853195697,0.5714846160069948,0.5782475911125564,0.6475365513229796,0.5985340347687037,0.6294200932690682,0.590194900717293,0.6124142955367246,0.5457796294490849,0.5311974133900288,0.5503746874165196,0.5277314298497529,0.6416421945287343
25,-27.70799881219864,0.5852830650481015,0.5739237595618069,0.5169554747911737,0.6130714443523231,0.559178153740195,0.6581580921650622,0.5242347072917433,0.5264101539917205,0.6080115859019123,0.6246673814933612,0.602188022298621,0.6192420140571694,0.5719229355409995,0.5781583730850857,0.6478662794683758,0.5982202758096471,0.629132394635243,0.58976693219929,0.6124598466868585,0.5455647204853552,0.5312314632543831,0.5505038480907395,0.5275376917952812,0.6419908362702077
26,-27.70865225791931,0.585827712147688,0.5744977209681991,0.5167740242082869,0.6130101924340344,0.558724899823782,0.6578602396430068,0.5244832257200494,0.5257712010884903,0.6081454509139935,0.6241648212785577,0.6024083008740422,0.6184821044089123,0.5723175729057034,0.5781125589669237,0.6479843194798247,0.5979151346196503,0.6287485690949494,0.5895711505604102,0.6127593333008005,0.5453534363971236,0.5316173531743733,0.5504340075732763,0.5274523355313784,0.6418909303497865
27,-27.70871129631996,0.5859279942105832,0.5745727383428165,0.5167018782077574,0.613017247342461,0.5586335234728254,0.6577601874868598,0.5244730245645662,0.5256598333671333,0.6082227429401275,0.6240875232727521,0.6024525851418921,0.6183693878464215,0.5723910239412829,0.5780718954385257,0.6480397953493781,0.5978417590585421,0.6286405224727232,0.5895119192405546,0.6128177924745758,0.545280914905485,0.531686225667968,0.5504066412888547,0.5273986635450962,0.641910353946414
28,-27.708765923976898,0.5868581089836192,0.5753377417801869,0.516167637986866,0.612956537550467,0.5579797761853653,0.6574037235925686,0.524444514146309,0.5248105290725144,0.6086080724762993,0.6234688823164446,0.602756920669639,0.6177069567747353,0.5729749552967998,0.5778971009999867,0.64845897959928,0.597321793324549,0.6279436679744903,0.589203306029816,0.6130721386112756,0.5449877449368229,0.5320022846820986,0.5503637406511516,0.5271158216697327,0.6419628329144696
29,-27.709786772727966,0.588980646386221,0.5770824498695407,0.5148638643944092,0.6127767509531212,0.5565344951621981,0.6572970308621626,0.524075447451637,0.523186181827073,0.6094855571687693,0.6220441382204195,0.603342002061535,0.6169904612154975,0.5740481875037673,0.5773566416965848,0.6495582633759118,0.5962452631891282,0.6264985581461489,0.5889874129170339,0.6131560143101072,0.5444871619938301,0.5324416600446156,0.5507133219312865,0.5265279535330452,0.6422669407300646
30,-27.715290933847427,0.5891370406465324,0.5772215645439306,0.514765326408752,0.6125173776227628,0.5567261174747875,0.6581529390009236,0.5237801919337003,0.5235108057925234,0.6101239009168608,0.6224323002877629,0.603313084073572,0.6175909249479581,0.5740058932899178,0.5769051329545444,0.6497478919834426,0.5960787713838949,0.6266746277727553,0.5893135295113204,0.6130983624082069,0.5448436292357559,0.5321998750759209,0.5512761281071673,0.5265049975899877,0.6421287260518633
31,-27.71580445766449,0.5895006374230665,0.5775460935627493,0.5145481843999599,0.6123762813927827,0.5566055508596663,0.6584866210764719,0.5236225473763543,0.5233960847988273,0.6105110040437033,0.6223783186773588,0.6034162966919784,0.6176994389838948,0.5741789853150167,0.5766586241442234,0.6500048025670644,0.5958636189170036,0.6265556340371798,0.5894052963790921,0.6130745087748145,0.5449481380668683,0.5321610019968871,0.5515200049075101,0.5264364829613005,0.6420823259477774
32,-27.716775089502335,0.5896125293086978,0.5777031402132552,0.5145543371471611,0.612136906936801,0.5567889227722187,0.6586464733281865,0.5235961031199029,0.5233059937743498,0.6105654952598337,0.6223610265758053,0.6037530033623708,0.617377930914145,0.574618065777015,0.5766569763892155,0.6501937212737664,0.5958653399637487,0.6265222300634273,0.5893886332219447,0.6129671030535458,0.5451254022932396,0.5321042659006148,0.5514882635420352,0.5264982991637521,0.6418312307180171
33,-27.71882912516594,0.5899673961483619,0.5780997220620959,0.5143085190632922,0.6120669323430291,0.5568718876910714,0.6588304711243385,0.5235234275015206,0.5227858931397564,0.6105344088654453,0.6219719939468563,0.6042485723911797,0.6168636722423131,0.5752675750827762,0.5766229814828512,0.6505301126465473,0.5958165064999721,0.6263979857660408,0.5893678545720346,0.612747001501687,0.5453494671993995,0.5322074241327851,0.5517078389481574,0.5264674581500712,0.6417323824205674
34,-27.7207008600235,0.5898201666018182,0.5779905444014706,0.514407396555371,0.6123426854539281,0.5570652243008622,0.6590019864106921,0.5234396607835542,0.5229122200235445,0.6103042895837189,0.6218817752500937,0.6045620607471258,0.6166848269106205,0.5753836939585326,0.5766534993587841,0.6503498872765695,0.5958068797487525,0.6263692138775069,0.5896418616743802,0.6127338392656249,0.5454868052050135,0.5324481884245603,0.5518582080170334,0.5264012154008154,0.6417588763387886
35,-27.721186816692352,0.5900618177915727,0.5784162436091795,0.5143043131408466,0.6134078001376598,0.55799486561488,0.6606140994179911,0.5228568275240696,0.5229945526941328,0.6096382792782268,0.6209266821582105,0.6067579250076442,0.615435202370526,0.5769543033607122,0.576312046840421,0.6501701797920398,0.5955149603971586,0.6259711671094548,0.590948377189882,0.6122892413993511,0.5466568132831604,0.5335906359222556,0.5533549382914081,0.5259680381122612,0.6418446955316135
36,-27.724094718694687,0.5913891794238859,0.5788091711549744,0.5138869434932302,0.6133966250583466,0.5570698662929879,0.6603550025193868,0.523154145418169,0.5225129647531263,0.6097303977003398,0.6197264108554915,0.6076309239926234,0.6152845581369275,0.5777991429237309,0.5755913086810804,0.6505042866466499,0.5955311570161472,0.6248517625633904,0.5906785897360481,0.6124088955765834,0.5467543343985637,0.5341070380614077,0.5539972317999474,0.5244516549273704,0.642194426894856
37,-27.725373655557632,0.5923146178618892,0.5788276852275341,0.5138167196351814,0.6132386446529728,0.5564659458750045,0.6608281111362755,0.5230371766278125,0.5220829652385608,0.6104989959755714,0.6190366512165639,0.6081056799954146,0.6153422093965741,0.5785850827478863,0.5751170715786467,0.650584590663462,0.5953684605443625,0.6243130987923344,0.5911288654045794,0.6121728549270274,0.5469532461803405,0.5340583535266965,0.5548156025735291,0.5233329871363888,0.6427911683733796
38,-27.728431224822998,0.592371480594732,0.5784481047743734,0.5141005400698052,0.6129541245242256,0.5560182301161272,0.6611643005290918,0.5232264904314846,0.5220655323826819,0.6111404826472222,0.6194315759646596,0.6071449521950842,0.616035146160922,0.5782460854953527,0.5751421724689046,0.6505318963778748,0.595575445683258,0.6247285679383237,0.5911767704203085,0.6121754520094923,0.5465243540458559,0.5331924226384959,0.5546431387673232,0.5236967378358667,0.6428646425700912
39,-27.728431850671768,0.5923714767836571,0.578448101155311,0.5141005423299306,0.6129541228949998,0.5560182294892778,0.6611643026468904,0.5232264902734074,0.5220655339420036,0.6111404854408029,0.6194315825232594,0.6071449432005156,0.6160351514369936,0.5782460801400555,0.5751421745432097,0.6505318950537707,0.5955754471520885,0.624728572945033,0.5911767707283592,0.6121754524161817,0.5465243510399139,0.5331924156193284,0.5546431357504545,0.5236967433960351,0.6428646414208538
40,-27.728801518678665,0.5919460261383918,0.5784560106938302,0.514097432254357,0.6131373542549964,0.5563308771569581,0.6610678392227017,0.5232146314542442,0.5223010481684193,0.6107157293165983,0.6197147041785612,0.6070312149017504,0.6159876951338042,0.5779262511949446,0.5753154142922198,0.6504640900199932,0.5956332315826708,0.6249315367365195,0.591057645746906,0.6122869808459104,0.546506801040556,0.5332876117632666,0.5543987129102281,0.5241473917820696,0.6425956814455812
41,-27.728897154331207,0.5917782795530786,0.5784688100086837,0.5139913680975152,0.6132295511215482,0.5564950132281311,0.6610329584228697,0.523294279250813,0.5223277997466982,0.6103800150808052,0.6198776420474469,0.6070981091243467,0.6157719155866143,0.5779333743347556,0.5754221095197865,0.6505405568634821,0.595606156341077,0.6250514142802318,0.5909903099517249,0.6123193398013894,0.5465569726785666,0.5333957550958075,0.5542678270771351,0.5244246403918686,0.6422836007156199
42,-27.72910848259926,0.5918527984898625,0.5784495914692681,0.5139565318899341,0.6131435265514558,0.5563057097077605,0.6609543140556577,0.5233266913944877,0.522260345748804,0.6105245646933726,0.6198828105323375,0.6069789596348756,0.6158874178186152,0.5779045187384113,0.5753801072297738,0.6505545854420712,0.5955875358359617,0.6250104886818248,0.5908905215992267,0.6122871039262047,0.5464502902680314,0.5333076759709314,0.5542398560838301,0.5243382897948063,0.6423863287608876
43,-27.72913709282875,0.5918527962126107,0.5784495910637183,0.5139565299653289,0.6131435243982505,0.5563057070602703,0.6609543098427102,0.5233266925504406,0.5222603458779498,0.6105245657415462,0.6198828143637936,0.6069789540085195,0.6158874212753619,0.5779045144160763,0.5753801078465159,0.6505545858444167,0.5955875355871116,0.625010490333482,0.5908905174599973,0.6122871031395627,0.5464502871455783,0.5333076737144404,0.5542398521575811,0.524338292409656,0.642386328113323
44,-27.72916340827942,0.5918258403467653,0.578434358826853,0.5138118595185449,0.6130583632043451,0.556074645209758,0.6608964179301319,0.5233920093010749,0.5222447619943635,0.610653926877524,0.6200258244904263,0.6067351161093005,0.616108605769,0.5777940152905456,0.5753252630942656,0.6505774280376567,0.5955730033950809,0.6250764538710467,0.5907557542618529,0.6121645748950267,0.5463089318091419,0.5331633329877165,0.5541665536624738,0.524423670579253,0.6423795917810905
45,-27.72933652997017,0.5918483701659125,0.5784329259727288,0.5136636114078115,0.6130652315857121,0.5560659787491211,0.6609264545820132,0.5233976581394933,0.5222543849294853,0.6106118306881433,0.6201170857973334,0.6067091646464287,0.6161236427086324,0.5777913088326871,0.575300968876047,0.6505902656852484,0.5955393925245986,0.6250690309348118,0.5906490158484436,0.6120407589708862,0.5462904369265228,0.5331314747267585,0.554124909478516,0.5244813105960251,0.6422702491117531
46,-27.729697823524475,0.591827829304858,0.5784347513708067,0.5136679342430779,0.6131322420569378,0.5562367572982236,0.6610583461940209,0.5233122150823392,0.5222644088303697,0.6105534323614787,0.6200725238879722,0.6068680404859091,0.6159945265239587,0.5778650759781908,0.5753192024427749,0.6505556251820596,0.5955431317314088,0.6250613877861271,0.5907627793760515,0.6119898314489283,0.5463887926580177,0.5332031542073121,0.5542191181400296,0.5245238221955785,0.6422452666961807
47,-27.729723155498505,0.5918090427266909,0.5784453200264082,0.5136722941863597,0.6133023149538435,0.5565843972481656,0.6614010906087642,0.5230999618491985,0.5222905241754848,0.6104291772500772,0.6199760590944345,0.6072228732167925,0.6157118183647804,0.5780316824929081,0.5753260306073145,0.6504563391960592,0.5955582182241297,0.6250372535016593,0.5910137794018058,0.611830055438477,0.5466052743558492,0.5333451834864879,0.554465296775396,0.524606188131624,0.6421937610777376
48,-27.729853630065918,0.5918199883578176,0.5784076610116096,0.5135524864518962,0.6133784131599426,0.556633994600923,0.6615008755602011,0.5230303360490939,0.5222902869858908,0.6103447020558417,0.6200510293372019,0.6072272579373873,0.6157106038094904,0.5780334389937493,0.5752636383607215,0.6504520630842453,0.5955589512511675,0.6250714402267719,0.5909790032309873,0.6117106367324019,0.5466323402220788,0.5333742855622092,0.5545164932030157,0.5248179467359193,0.642126498691663
49,-27.730061650276184,0.5918906648865766,0.5783469060739346,0.5134586789396592,0.6132008914251714,0.5563395754504703,0.6613603472527007,0.5230854672922962,0.5221734106739679,0.610516873312973,0.6201859563868671,0.6069737695562809,0.6159667740361783,0.5779121801306796,0.5751919257460335,0.6505061181699083,0.5955509331943025,0.625081301675243,0.5907911411036642,0.6116535093099082,0.5464440129411153,0.5332091928066328,0.5544278209421856,0.5249088112381847,0.642102933037933
50,-27.73017445206642,0.5919257366318277,0.5783205434196454,0.5133846138217218,0.613193689531179,0.5563275613177365,0.6614000710875444,0.5230494676228558,0.5220953756301011,0.6105249831350097,0.6201874661168547,0.6069797814528505,0.6159970040162173,0.5778938550663079,0.575131755661152,0.6504532313403525,0.5955754053302408,0.6250620202051843,0.5908095083202072,0.611568542797034,0.5464633101193057,0.533220031204659,0.5544582523238142,0.5249526312121756,0.6420907771570247
51,-27.730389893054962,0.5919153921094324,0.578341149606481,0.5130827243683546,0.6133798149571145,0.5566292239093404,0.6617612410927242,0.5228393945194949,0.5218788195874209,0.6102853946039692,0.6201655243955027,0.6073686915943963,0.6157356304170848,0.578036624368625,0.5750315933937241,0.6502536436280851,0.5956301933424001,0.6249910046524246,0.5909893048781781,0.6112541816390251,0.5466792840853536,0.533391514234864,0.5545820250158998,0.5250983549687523,0.6419417483990673
52,-27.730444759130478,0.5919155227027479,0.5783426095696944,0.5130842315703739,0.6133812725638988,0.5566317270089777,0.6617613044897857,0.5228404353136635,0.5218780793708191,0.6102831216987435,0.6201640133500024,0.6073717899430443,0.6157318736394296,0.578039308489135,0.5750315822850197,0.6502537455897581,0.5956304214749908,0.6249902098426394,0.5909917681993822,0.6112549106759887,0.546681740334483,0.5333938284188218,0.5545821940483853,0.5250957708843419,0.6419419406219381
53,-27.730474323034286,0.5919337212537692,0.5783390805094085,0.5131119089099958,0.6133432650435078,0.5565545128603617,0.6616788484134704,0.5228914034499713,0.5218710514096139,0.6103122283234151,0.6201835369175204,0.607291478501419,0.6157863547118133,0.5780166489251402,0.575023245256541,0.6502907963499712,0.5956277440448364,0.6249961578274535,0.5909445939829828,0.6112985372427604,0.5466381198097647,0.5333668686114541,0.5545415016858304,0.5250823856564223,0.6419596623485616
54,-27.730511784553528,0.5919338384085631,0.5783390718732928,0.5131119639852817,0.6133430990985328,0.556554161281832,0.6616784780312618,0.5228916452324992,0.5218709422231388,0.6103123156830421,0.6201836601169004,0.6072911406505732,0.6157865741104755,0.5780165799635595,0.575023161401144,0.6502909710822263,0.5956277338413752,0.6249961655383319,0.5909443630677813,0.6112986735889566,0.5466379372161434,0.5333667633005096,0.5545412996991653,0.5250823543206444,0.6419596891395526
55,-27.730511784553528,0.5919338384087125,0.57833907187337,0.5131119639852039,0.6133430990985664,0.5565541612818411,0.6616784780314918,0.5228916452323727,0.5218709422225553,0.6103123156829707,0.6201836601168297,0.6072911406509609,0.6157865741102162,0.5780165799638193,0.5750231614008977,0.6502909710820702,0.5956277338415099,0.6249961655381824,0.5909443630680763,0.6112986735887066,0.5466379372162834,0.5333667633006202,0.5545412996993241,0.525082354320611,0.6419596891395408
