iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3]
30,-27.442416161298752,0.4977661225618932,0.5434082761825435,0.7710470907181475,0.7411259864558993,0.544820568235725,0.7145722668862017,0.5514068211763931,0.3431207750125774,0.7715093747965351,0.21124072081103162,0.6278307401695034,0.6543523378168882
31,-27.459518045186996,0.49961454233926184,0.5440753622574727,0.7710846202664339,0.7432312760303648,0.542939116406488,0.7144279480957217,0.5509550050182576,0.34324460163745557,0.7712768298134419,0.20916804011825588,0.6299905919028109,0.6533418097712238
32,-27.460933208465576,0.5002999593502298,0.5445062730387319,0.7703567662307405,0.7443180088760628,0.5424884458868572,0.7135412927558805,0.5499938656281403,0.3428169116810847,0.7707043080374076,0.20835729496760438,0.6295580795672387,0.6531716548011893
33,-27.461219400167465,0.5007101001624141,0.5446364503694481,0.7701154806038508,0.7447867734916441,0.5423325351789117,0.7132431454843468,0.5496442615918978,0.3426548534418979,0.7705069033628652,0.20808074727768602,0.629528967677618,0.6531873411899065
34,-27.46428680419922,0.5013427859514281,0.5428075881972833,0.77196236151831,0.7458855350513928,0.5414960659699108,0.7125799313126173,0.548366265743633,0.3429714532110187,0.7691804247665187,0.20793052174902085,0.6318159294347852,0.652365005000269
35,-27.464519321918488,0.501511685507527,0.542359561512601,0.7726373643756924,0.745924288874902,0.5410829531036851,0.7125751864202616,0.5482888035657028,0.34299621634850336,0.7689905840016821,0.2080343758409763,0.6326033547523178,0.6520891974348036
36,-27.466855764389038,0.501214591692359,0.5395739339214043,0.7767706245690275,0.7444054229743069,0.5388194893907665,0.7131227197129272,0.5491713806504902,0.34286080483543685,0.7688488452631922,0.21004643488018693,0.6370729658704376,0.6517035652685177
37,-27.4677931368351,0.5008087790928044,0.5383424433727314,0.7782819366939155,0.7439969779520165,0.537653850466572,0.712855703766283,0.5499612151266612,0.3431487602061144,0.7693186827353186,0.2107371702132742,0.6384323114625995,0.6519005087518682
38,-27.468189656734467,0.5004705967834997,0.537046210016904,0.7792459027541014,0.7440446573002744,0.5365816857594687,0.7123132850409539,0.550296121136607,0.34344399714490725,0.7694101380021241,0.21089372256578742,0.6391661241968155,0.65227249196313
39,-27.470791518688202,0.5001996372264813,0.536619439103873,0.7786886086029821,0.7444550040373692,0.5365645379498937,0.711329103289751,0.5506244580833597,0.34380626963183153,0.7695810528652632,0.21066913258326989,0.6376186756311718,0.6527501636946469
40,-27.471350967884064,0.5000909968564587,0.5367739442415813,0.7779594984927817,0.7447559814993634,0.5367974470737692,0.7109298067403393,0.5507420934675759,0.34398502805096837,0.769676467339841,0.2103310553992389,0.6364407362330076,0.6530170175479092
