iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2]
62,-20.405740410089493,0.17429605349898336,0.42042376324534414,0.3465848363935947,0.39664137959480283,0.31158905327320097,0.17439265772700308
63,-20.41012442111969,0.1734073035418987,0.4198357783257961,0.34535821750760076,0.39586867988109586,0.3106353789567947,0.1738921873271465
64,-20.414124488830566,0.17255024835467336,0.4193129412829876,0.3441865988075733,0.39511645436286924,0.30970040559768675,0.1734223537147045
65,-20.41789683699608,0.17173214480280874,0.4187885247170925,0.3430245615541935,0.39440553486347196,0.3087866216897964,0.17298744842410085
66,-20.421495974063873,0.17092944905161855,0.4182643167674541,0.3419001944363117,0.3936940789222717,0.3079261243343353,0.17254114374518392
67,-20.425033271312714,0.17013548538088796,0.417732747644186,0.3407974638044834,0.39298721253871916,0.30707395672798155,0.17212683185935018
68,-20.428216218948364,0.16939671561121938,0.4172281943261623,0.33974784091114996,0.39230563342571256,0.3062357515096664,0.17170201465487478
69,-20.431305170059204,0.16865688785910604,0.4167257271707058,0.33871678486466406,0.3916746586561203,0.3054258733987808,0.17125958427786825
70,-20.43418961763382,0.16793591007590292,0.4162644915282726,0.3377211637794971,0.39103142023086546,0.30462338626384733,0.17087958976626394
71,-20.436932623386383,0.1672469101846218,0.4157943449914455,0.3367330826818943,0.3903926223516464,0.30384371280670164,0.17049706205725668
72,-20.4395869076252,0.1665791444480419,0.4153521828353405,0.3357749231159687,0.3897859513759613,0.30309092104434965,0.17012848183512685
73,-20.442130267620087,0.165924908965826,0.4149060420691967,0.3348441369831562,0.3891830503940582,0.302361062169075,0.16977054104208944
74,-20.444531977176666,0.16529260799288747,0.4144763372838497,0.333918447047472,0.3885829210281372,0.3016510963439941,0.16941358372569082
75,-20.446789175271988,0.16468066200613973,0.4140500448644161,0.33304024711251257,0.388001611828804,0.30095255970954893,0.1690512768924236
76,-20.448885291814804,0.1640696696937084,0.4136250041425228,0.3321674562990665,0.38743763267993925,0.3002686262130737,0.16871671602129934
77,-20.451011955738068,0.16348673626780508,0.4132052533328533,0.33129777982831,0.38690044581890104,0.29960126280784605,0.16839188560843465
78,-20.45296600461006,0.16290456280112264,0.41281061097979543,0.33047589138150213,0.38633490204811094,0.2989503800868988,0.16806304678320882
79,-20.454912424087524,0.1623478554189205,0.41242784485220907,0.32967759147286413,0.38581343591213224,0.29831277430057523,0.16773729249835012
80,-20.456670224666595,0.1618084631860256,0.4120549730956554,0.32887488082051275,0.3852917909622192,0.2976903527975082,0.16746546551585195
81,-20.45838564634323,0.16126474961638448,0.4116728328168392,0.32809885814785955,0.38478866815567014,0.29707457721233366,0.16715401634573934
82,-20.4600268304348,0.16075518950819967,0.4113109730184078,0.32732572630047796,0.38430081903934477,0.2964614242315292,0.16686670705676077
83,-20.461636871099472,0.16024513766169546,0.4109517656266689,0.32659230604767797,0.3838177531957626,0.29588057696819303,0.1665820203721523
84,-20.463119834661484,0.15975006148219106,0.41059199199080465,0.3258680500090122,0.38333573043346403,0.2953019648790359,0.1663132183253765
85,-20.46461421251297,0.15928103253245351,0.41022724136710165,0.3251465804874897,0.38287838399410246,0.2947407871484756,0.16604179367423055
86,-20.465899229049683,0.15880649015307424,0.40990242585539816,0.32444743290543554,0.3824161946773529,0.29420911371707914,0.16579856202006338
87,-20.467302352190018,0.15833366140723226,0.4095722161233425,0.3237574495375156,0.38194957971572874,0.2936877518892288,0.1655398480594158
88,-20.468647360801697,0.15787765607237814,0.40921390280127523,0.3230877466499805,0.38152328729629514,0.29316203892230985,0.16529193744063375
89,-20.469829440116882,0.15743267759680746,0.40888644978404043,0.32244951501488683,0.38107251226902006,0.29264690577983854,0.16505378708243368
90,-20.47096586227417,0.15700754746794698,0.4085631243884563,0.3218053378164768,0.38067214787006376,0.29214579463005064,0.16481690332293508
91,-20.472155690193176,0.1565969906747341,0.40825814232230184,0.3211632318794727,0.38024615347385404,0.2916527599096298,0.16457547470927236
92,-20.473258167505264,0.15618744716048238,0.40795994028449056,0.3205524630844593,0.3798260152339935,0.29117359817028043,0.16435633823275564
93,-20.474244982004166,0.15577800795435903,0.40767613276839254,0.3199296541512012,0.3794433981180191,0.2907016932964325,0.16409372016787527
94,-20.475264102220535,0.15536909028887746,0.4073736540973186,0.3193476743996143,0.379030442237854,0.2902416497468948,0.16388331577181814
95,-20.476233690977097,0.15498942360281942,0.4070799522101879,0.3187528945505619,0.3786464542150497,0.2897657960653305,0.16365607306361196
96,-20.47722229361534,0.15460978671908376,0.40679231509566305,0.31818983927369116,0.37826882898807523,0.28930855393409727,0.16344860419631002
97,-20.47809126973152,0.15423555895686147,0.40650166794657705,0.31763325110077856,0.37787087857723234,0.2888664066791534,0.16325277313590048
98,-20.47897297143936,0.15387419089674947,0.40621397122740743,0.3170695997774601,0.37750124037265775,0.28845722079277036,0.1630516819655895
99,-20.47988399863243,0.15353040620684621,0.4059413395822048,0.3165165282785892,0.3771221101284027,0.28804381787776945,0.1628458373248577
100,-20.480620443820953,0.15318630859255788,0.405652167648077,0.3159931696951389,0.3767713814973831,0.2876303106546402,0.16266134604811666
101,-20.481457114219666,0.1528457425534725,0.40538248643279073,0.3154649533331394,0.3764228135347366,0.2872288882732391,0.16248110160231588
102,-20.482193380594254,0.15250635370612142,0.40511945113539694,0.3149526663124561,0.376074081659317,0.28683913350105283,0.16231289729475973
103,-20.482998371124268,0.15217375978827474,0.4048516623675823,0.3144474424421787,0.3757461816072464,0.2864396333694458,0.16211906298995016
104,-20.483643740415573,0.15184790119528768,0.4046130649745464,0.3139455862343311,0.3753954380750656,0.28604132533073423,0.16194074079394338
105,-20.484293431043625,0.15151611194014547,0.40435473844408987,0.31346135810017584,0.3750650197267532,0.2856645494699478,0.16174821779131887
