iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
39,-9.942366421222687,0.6139783136546612,0.557917544990778,0.579770328849554,0.3642448171973228,0.7572551429271698,0.5027870930731296,0.6611562281847,0.5363519549369812,0.6440304204821586,0.4385892957448959
40,-9.944605678319931,0.6140747390687465,0.5578289873898029,0.5792469553649425,0.36320550590753553,0.7575818806886673,0.5025197066366672,0.6611017793416977,0.5359641820192337,0.6447760447859764,0.43871251344680784
41,-9.946667581796646,0.6141731016337871,0.5577370472252369,0.578744339197874,0.36220908015966413,0.7578975766897201,0.5022643901407718,0.6610585212707519,0.5355927407741546,0.6454921796917915,0.4388444185256958
42,-9.948584854602814,0.6142744295299053,0.5576448388397693,0.5782616309821605,0.361242963373661,0.7582029163837433,0.5020162709057331,0.6610263645648956,0.5352345764636993,0.6461794510483742,0.4389803022146225
43,-9.95034384727478,0.6143737308681011,0.5575521685183048,0.577802898734808,0.3603153213858604,0.7584938317537308,0.501778120547533,0.6610042363405227,0.5348906874656677,0.6468370094895363,0.43911119401454923
44,-9.952015787363052,0.6144747607409954,0.5574568755924701,0.5773638807237148,0.3594190314412117,0.7587797552347183,0.5015544541180134,0.6609883964061737,0.5345534145832062,0.6474712923169136,0.43924554288387296
45,-9.953507959842682,0.6145735405385494,0.5573624022305012,0.5769425950944423,0.3585600689053535,0.7590540558099746,0.5013334847986698,0.6609809756278991,0.5342333823442459,0.6480803474783897,0.4393793702125549
46,-9.954933315515518,0.6146705470979213,0.5572661258280277,0.5765384905040264,0.3577279433608055,0.7593190878629684,0.5011235423386097,0.6609815716743469,0.5339240193367004,0.6486652329564094,0.4395082503557205
47,-9.956256210803986,0.6147680006921291,0.5571697898209095,0.5761537574231624,0.35692438334226606,0.7595745980739593,0.5009281583130359,0.6609830617904663,0.5336258023977279,0.6492279455065727,0.43963356912136076
48,-9.95746460556984,0.6148616544902324,0.5570796824991703,0.5757796488702297,0.3561507299542427,0.7598198562860489,0.5007364548742771,0.6609950870275497,0.5333324134349823,0.6497667863965034,0.43976387977600095
49,-9.958605229854584,0.6149539671838283,0.5569890536367893,0.5754256717860698,0.3554090693593025,0.7600597202777862,0.5005519337952137,0.6610085427761078,0.5330454766750335,0.6502889826893806,0.43989489078521726
50,-9.959681034088135,0.615045877546072,0.5568982310593128,0.5750838689506054,0.35468552857637403,0.7602894216775894,0.5003804661333561,0.6610260367393493,0.532771772146225,0.6507882460951805,0.4400173932313919
51,-9.960668087005615,0.6151347629725933,0.5568101204931736,0.5747521094977855,0.35398577004671095,0.7605115830898285,0.5002110697329044,0.6610505044460296,0.5325062185525894,0.6512706413865089,0.4401372730731964
52,-9.96157294511795,0.6152224414050579,0.5567257054150104,0.5744345061480999,0.3533162012696266,0.7607274413108825,0.5000561125576496,0.6610767900943756,0.5322501420974731,0.6517325922846794,0.44025260806083677
53,-9.962423115968704,0.6153104327619076,0.55663957670331,0.5741313569247722,0.35266522914171217,0.7609369963407516,0.4999015875160694,0.6611022710800171,0.5320057034492492,0.6521795079112053,0.44037087857723234
54,-9.963230341672897,0.6153937451541424,0.5565598852932453,0.5738334976136684,0.35203845649957655,0.7611392050981521,0.49975639060139654,0.6611332505941391,0.5317666292190552,0.6526074692606926,0.4404877334833145
55,-9.963946491479874,0.6154738835990429,0.5564842320978641,0.573551731556654,0.3514364942908287,0.7613356918096542,0.49961929991841314,0.6611648857593536,0.5315376430749893,0.6530188456177711,0.44059509634971616
56,-9.964635133743286,0.6155522190034389,0.5564078338444233,0.573278384655714,0.35084967166185377,0.7615240424871444,0.4994839526712894,0.661197891831398,0.5313142299652099,0.6534151419997215,0.44070099890232084
57,-9.965285748243332,0.6156307183206081,0.5563334323465824,0.5730120562016964,0.350285305082798,0.761705881357193,0.49935335889458654,0.6612343549728393,0.5310994297266006,0.6537994131445884,0.4408088833093643
58,-9.965891271829605,0.6157039575278759,0.5562625624239445,0.5727544300258159,0.3497432753443718,0.7618828624486923,0.4992348052561283,0.6612697452306747,0.5308906346559524,0.6541690662503242,0.44091073274612425
59,-9.966452658176422,0.6157770328223705,0.5561953581869602,0.5725080691277981,0.34921459704637525,0.7620536744594574,0.49911768212914465,0.6613027662038803,0.5306927770376205,0.654524265229702,0.44100714325904844
60,-9.966982334852219,0.6158457420766353,0.5561274088919163,0.5722691737115383,0.34871132522821424,0.7622225493192673,0.4990042246878147,0.6613381266593933,0.5304981678724289,0.6548703446984291,0.44110082685947416
61,-9.967456459999084,0.6159098170697689,0.5560604132711887,0.5720372967422008,0.34822006374597547,0.7623841375112533,0.49889893308281896,0.6613750219345093,0.5303108304738998,0.6552016869187355,0.44119577705860136
62,-9.967895895242691,0.6159757547080517,0.555999780446291,0.5718131832778454,0.34774632602930067,0.7625401377677917,0.49879532530903814,0.6614104270935058,0.5301289021968841,0.6555207505822181,0.44128320217132566
63,-9.968341022729874,0.6160375796258449,0.5559401161968708,0.5715984724462032,0.3472872510552406,0.7626897901296615,0.4986964263021946,0.6614464282989502,0.5299543499946594,0.6558269694447517,0.4413664847612381
64,-9.968723386526108,0.6160974077880382,0.5558832980692386,0.5713898710906505,0.3468445673584938,0.7628359258174896,0.49860636368393896,0.6614801943302154,0.5297893941402435,0.6561254844069481,0.4414484709501266
65,-9.969098776578903,0.6161548815667629,0.5558320082724094,0.5711834453046322,0.3464203909039497,0.7629774868488312,0.4985164202749729,0.6615180730819702,0.5296254068613052,0.6564103946089744,0.44152857959270475
66,-9.969427764415741,0.6162094049155712,0.5557789750397205,0.5709893576800823,0.3460043206810951,0.7631123423576355,0.49842832460999487,0.661551958322525,0.5294669330120086,0.6566853806376457,0.4416054546833038
67,-9.969756096601486,0.6162631534039974,0.5557318724691868,0.5707993529736995,0.3456059232354164,0.7632433980703354,0.4983415998518467,0.6615857690572738,0.5293131977319717,0.6569510534405708,0.4416815400123596
68,-9.97006008028984,0.6163156650960445,0.5556821770966053,0.57061512991786,0.3452239766716957,0.763373053073883,0.49826244488358495,0.6616169422864914,0.5291650801897049,0.6572097674012184,0.4417476415634155
69,-9.970331400632858,0.6163614265620708,0.5556408412754535,0.5704381041228771,0.3448495551943779,0.7634946465492248,0.4981882520020008,0.6616483241319656,0.529025799036026,0.6574560388922691,0.441813251376152
70,-9.97058156132698,0.6164065770804882,0.555600056797266,0.5702658616006374,0.34448724836111067,0.7636134386062622,0.49811452105641363,0.6616813898086548,0.5288860708475113,0.6576982870697975,0.4418783843517303
71,-9.970824301242828,0.616451071947813,0.5555593021214008,0.5700961820781231,0.34413929134607313,0.7637286245822906,0.4980438746511936,0.6617128312587738,0.5287497699260711,0.6579302385449409,0.44193496406078336
72,-9.971057564020157,0.6164940468966961,0.5555216915905475,0.5699320159852505,0.3438060417771339,0.7638410985469818,0.49797446504235265,0.6617411285638809,0.528623229265213,0.6581541880965233,0.44199312329292295
73,-9.971270978450775,0.6165344439446926,0.5554838128387928,0.5697738252580166,0.34348603934049604,0.763949191570282,0.497908765822649,0.6617681294679642,0.5285015314817428,0.6583704486489296,0.44205125272274015
74,-9.971475750207901,0.6165704898536205,0.555451775342226,0.5696214608848095,0.3431738898158073,0.7640546768903732,0.4978493548929691,0.6617948621511459,0.5283796697854996,0.6585812553763389,0.44210231900215147
75,-9.971651196479797,0.6166091732680797,0.5554180242121219,0.5694743566215038,0.34286956340074537,0.764156973361969,0.4977951295673847,0.6618216842412948,0.5282646477222442,0.6587813779711723,0.4421446233987808
76,-9.97183072566986,0.6166428498923778,0.5553887732326984,0.5693306945264339,0.34257674068212507,0.7642549932003021,0.49773610606789587,0.6618494600057602,0.5281469136476517,0.6589774325489998,0.442196986079216
77,-9.971988439559937,0.616674991697073,0.5553590454161167,0.5691923223435879,0.34229390174150465,0.7643513143062591,0.4976788409054279,0.6618759542703628,0.5280386418104172,0.6591649934649467,0.4422378450632095
78,-9.972130626440048,0.6167072378098964,0.5553306885063648,0.5690568707883358,0.3420205548405647,0.7644445657730102,0.4976298905909061,0.6619018822908401,0.5279351681470871,0.6593476071953773,0.4422805666923523
79,-9.972278028726578,0.6167376659810543,0.5553040452301502,0.5689251743257046,0.34175675958395,0.7645339727401733,0.49757892861962316,0.6619249194860458,0.5278309196233749,0.6595231279730797,0.44232053160667417
80,-9.972416281700134,0.6167660526931286,0.5552809931337833,0.5687974713742733,0.3414976730942726,0.7646234095096588,0.49753151312470434,0.6619482100009918,0.5277349561452865,0.6596931353211403,0.44235785901546476
81,-9.972552418708801,0.6167917273938656,0.5552590139210224,0.5686724059283733,0.34124801903963087,0.7647089719772339,0.49748163893818853,0.6619729608297348,0.5276375770568847,0.6598564520478248,0.4423962146043777
82,-9.97266200184822,0.6168149583041668,0.5552369900047779,0.5685536287724972,0.34100781232118604,0.7647938191890716,0.4974398411810398,0.6619937032461166,0.5275492578744888,0.66001628190279,0.4424301892518997
83,-9.972746193408966,0.6168394558131695,0.5552170075476169,0.5684340171515941,0.3407802566885948,0.7648725122213363,0.4973965235054493,0.6620158314704895,0.5274590760469436,0.6601686611771583,0.44246666729450224
84,-9.972843766212463,0.6168617628514766,0.5551940150558948,0.5683227948844433,0.34056000262498853,0.764953663945198,0.4973577059805393,0.6620357245206833,0.527371084690094,0.6603178963065147,0.44249813854694364
85,-9.972960829734802,0.6168840102851391,0.5551756866276264,0.5682116471230984,0.34034389108419416,0.7650319695472717,0.497321630269289,0.6620560348033905,0.5272897690534591,0.6604620352387428,0.44252211451530454
86,-9.973044723272324,0.6169023834168911,0.555156434327364,0.5681035988032818,0.34013944715261457,0.7651021540164947,0.4972816206514835,0.6620752274990082,0.5272126257419586,0.6606031790375709,0.4425445109605789
