iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
25,-27.701606392860413,0.5953212712186705,0.5635435475188609,0.6005729484200902,0.6353125576295252,0.655454276732995,0.6366376381839614,0.5651810813648945,0.6489216610622816,0.6629924593976753,0.5874369370547781,0.6550248686925922,0.5964410472800007,0.7120276217295186,0.6939366368674267,0.661775791584353,0.6432323092684596,0.6401042080349142,0.5794540584803689,0.6061001617989191,0.5940481358540461,0.6238724354214313,0.5866535231669568,0.6237145240228401,0.6746403399051227
26,-27.701972097158432,0.5953669386239976,0.5633927687134738,0.600459089148737,0.6352597971765737,0.6553149734200859,0.6365618374651622,0.5652316836690556,0.6487382635337903,0.6629195435075437,0.5875102425257599,0.6549263717869082,0.5962648250303396,0.7119372881392404,0.6940019651622746,0.6619025570068714,0.6432982256196654,0.6399113227277119,0.5795459799177208,0.6062196355347012,0.5938244910470272,0.6238580403703181,0.5865836448851126,0.6233893754450857,0.6746218752198104
27,-27.703417420387268,0.5955454469071717,0.5628471934148273,0.6003721374255793,0.6351424819042557,0.6553805918942686,0.6361903072885822,0.5650858701052037,0.6485273106575065,0.6626842793715101,0.5873771534703126,0.6553884818732154,0.5962803693176463,0.7120010748743794,0.6941674298500364,0.6618556467136799,0.6434983609215044,0.6395266318270708,0.579563390039728,0.6059577338874248,0.5934619365519048,0.6239142999649273,0.5861459129996248,0.6230249363871795,0.674612279899772
28,-27.704343140125275,0.5959235647245563,0.5622765118295978,0.6008700988156683,0.6349621332634797,0.6562868071844803,0.6354124925935076,0.5642752484839908,0.6492130372967254,0.6625478088359635,0.586841297702773,0.6568513396879702,0.5974105811066789,0.7122658233339992,0.6942565241006676,0.660835787782173,0.6431609806129932,0.6397413529013196,0.5787639866199216,0.6043097585402268,0.5935405498827285,0.6236589473736498,0.5852756519678274,0.6238766369836617,0.6746244586232011
29,-27.7111456990242,0.5957531567060835,0.5620833246841968,0.6024276417356581,0.6350150667295122,0.6588620256906992,0.634826371204475,0.5624439330013398,0.6516795768844363,0.6624402065380214,0.585787051031486,0.6608144684064917,0.6009244525630839,0.7142260635494391,0.6936604709798327,0.6588940022315992,0.642134811614742,0.6418499338525324,0.575628465019972,0.6014378593696696,0.5951253333213724,0.6232356108940957,0.5849620993070281,0.6264181629024287,0.6749584293786909
30,-27.717521995306015,0.5959686699199621,0.5624225430922491,0.603780144693057,0.6352176641040884,0.6608109963648324,0.6348890231531584,0.5611333379812834,0.6533333267752284,0.6623896350054962,0.5853045266415609,0.6637742040052398,0.6040418170430466,0.7158227351713232,0.6923028738013788,0.6581627936323622,0.6418413581084488,0.6439191666703242,0.573139762162058,0.5995498184110658,0.5965095420548457,0.6232087270987158,0.5853213084044664,0.6280925708099195,0.6750105658415618
31,-27.7187739610672,0.5958440555837708,0.5629856725557141,0.6036824199646356,0.6353281990346465,0.6604033519955821,0.6354055093085523,0.5614518095568743,0.6529429286729496,0.6624540485768091,0.5859526881537761,0.6630450791122197,0.6039195516694187,0.715897577661949,0.6918072476579548,0.6587277739245148,0.6419613843540289,0.6443023849672392,0.5730500660186398,0.6002545520905808,0.5967145432483114,0.6232251218333075,0.5858424133986998,0.6276691090165013,0.6751592014533198
32,-27.71878817677498,0.5958478986720155,0.5630007431551975,0.603675278533782,0.6353263977984591,0.6603721190524124,0.635425409522082,0.5614700425388913,0.6529063715378266,0.6624569166148816,0.5859855047898075,0.6630048099677243,0.6039055181650855,0.7158842494923076,0.6917857742444452,0.6587531819216782,0.641980030477833,0.6443080590172663,0.5730703997769324,0.6002886112832688,0.5967052002696506,0.6232295770549896,0.5858683463816828,0.6276338000562045,0.6751584822891725
33,-27.719614952802658,0.5958851670448843,0.562953467064939,0.6035318521058708,0.6352825597327808,0.6600995882513544,0.6354095999905396,0.5616269546139817,0.652649097978695,0.6624906151728421,0.5860633625759248,0.6626032225104667,0.6035332791856649,0.7155920876495012,0.6919143577781861,0.6588083715239502,0.6420471532411419,0.644048837013347,0.5734651942598442,0.6004689070043401,0.596473918313159,0.6232250025747572,0.585846938113779,0.6274346120721305,0.67510908090914
34,-27.719892919063568,0.5959044405413445,0.5628921714023473,0.6033935572686856,0.6352448912069824,0.6598615868358064,0.6353935218358243,0.5617720808571713,0.6524247487868896,0.662510609886499,0.5861058672037982,0.6622681570494511,0.6031817720929084,0.7153475144186554,0.6920527333862124,0.6588659522370949,0.6421206640712999,0.6437906682943523,0.5738275779449185,0.6006539016481944,0.596263595583036,0.6232376022620644,0.5858303965529218,0.6272445616337644,0.6750583353927709
35,-27.71999415755272,0.5958810114371925,0.5628965169136145,0.6032305571134897,0.6352389407818447,0.6595738267416736,0.6354475803267969,0.5619647558725558,0.6521765171078596,0.6625516435531356,0.5861927088712239,0.6618436705543149,0.6027685519492786,0.7151120218931772,0.6921820946835372,0.6590042237061421,0.6421817475999877,0.6435399077125248,0.5741991079309012,0.6009387064355303,0.5960664883703416,0.6232535974417451,0.5858867742237545,0.6270232836121046,0.6750084132543693
36,-27.71999415755272,0.5958810114371861,0.5628965169136508,0.6032305571132531,0.6352389407818416,0.6595738267412335,0.6354475803268935,0.5619647558728537,0.6521765171074786,0.6625516435532113,0.5861927088713594,0.6618436705536408,0.6027685519486584,0.7151120218927923,0.6921820946837047,0.6590042237063628,0.6421817476000904,0.6435399077121551,0.5741991079314893,0.6009387064359529,0.5960664883700494,0.6232535974417771,0.5858867742238507,0.6270232836117906,0.6750084132542769
