iter,energy,gamma[0],beta[0],gamma[1],beta[1]
0,-5.973691446706653,0.5981348142027855,0.6126129146665334,0.5924909677356481,0.6014807321131229
1,-6.100064843893051,0.5971191713120788,0.6226406008005142,0.5862359662074595,0.6019162599928677
2,-6.180345483124256,0.5967916959431022,0.6305159017443657,0.5810519248712808,0.6015160632319748
3,-6.232826769351959,0.5969891922082752,0.6366844870150089,0.5767387725878507,0.6004829061217606
4,-6.268878415226936,0.5975676664616912,0.6415315963327884,0.5731173582840711,0.5989925478585064
5,-6.295222878456116,0.5984116384293884,0.6453701503574848,0.5700395904947072,0.597182943392545
6,-6.315674871206284,0.5994303414132446,0.6484448187053203,0.5673890687990933,0.5951637019403279
7,-6.332418814301491,0.6005558335687965,0.6509433783590793,0.5650754549074918,0.5930139114148915
8,-6.346658557653427,0.6017380395438522,0.6530065558850765,0.5630288102198392,0.5907966409809887
9,-6.3590813130140305,0.6029415616299957,0.6547380782663822,0.5611982994247228,0.5885558863170445
10,-6.370089024305344,0.6041410156991333,0.6562109984457493,0.5595458798576146,0.5863234390504658
11,-6.3799393475055695,0.6053183117415756,0.6574872680008411,0.5580408029723912,0.5841239978559315
12,-6.388805866241455,0.6064622291829437,0.6586077012121677,0.5566605009604245,0.5819716517813504
13,-6.396783992648125,0.6075645798351615,0.6596014969050884,0.555388791160658,0.5798810710199177
14,-6.403973788022995,0.6086196118500083,0.6604937560856342,0.5542110480833798,0.5778616805560887
15,-6.410446882247925,0.6096258574631065,0.661302613466978,0.5531184502411634,0.5759152163751423
16,-6.416280299425125,0.6105812007095665,0.6620407871901989,0.55210165460594,0.5740463276393711
17,-6.421516537666321,0.6114872509147972,0.6627180151641369,0.5511524506378919,0.5722572942264378
18,-6.426221162080765,0.6123434716369957,0.663341062515974,0.5502664871979505,0.5705473561771214
19,-6.430431693792343,0.6131519341375679,0.6639192722737789,0.5494377293158322,0.5689179142005741
20,-6.434206485748291,0.6139144414570182,0.6644563697278499,0.5486633606720716,0.5673665692098439
