iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
30,-13.363234549760818,0.4755171285400715,0.7385520741065369,0.7254406957703574,0.6658454054990552,0.43742142952360424,0.47896712777059375,0.6654011924315698,0.8187321179602559,0.3769676708199424,0.47641187403165053,0.7630073349074518,0.34175041590125993,0.731552568463039,0.3463729956404343,0.789992397646322,0.4333145492555131,0.8311423630151754,0.3780158022172168,0.7206144330075316,0.40089645572917404
31,-13.363995224237442,0.4757237873941714,0.738154785128008,0.7253765111233531,0.6653000207001686,0.4366260635170955,0.47753487144552614,0.6651245401076027,0.8191772320813233,0.37590218983760654,0.47681323794561564,0.7615749999398742,0.34141216359243354,0.7317006755880794,0.3455892215192012,0.7894919327990874,0.43335036883815753,0.8313568436159737,0.3778257365674153,0.7205377841565643,0.40042718825217233
32,-13.366461873054504,0.4762543657899672,0.7370386095462941,0.7258205435562937,0.6639406973278204,0.43510091098079784,0.4748052329816847,0.6649217950632003,0.8196558765245905,0.373749492987615,0.4776233763471864,0.7592085638604675,0.3403106759146619,0.7316447182780015,0.34387392655656884,0.7885155422003166,0.43403538562755517,0.8312382860574548,0.3776944308020204,0.7192963925677971,0.39886729941519866
33,-13.369905978441238,0.47624841122304473,0.7359269560811386,0.7266905004126536,0.6624322878779316,0.4339443188345629,0.4733415028549826,0.6652644045546802,0.819864641388863,0.37345500794674463,0.4782486893307264,0.7584360028699176,0.3399922751377361,0.7320605829060184,0.34255769100992983,0.7888275314489533,0.43401126922351574,0.8310425088913878,0.378586472778778,0.7181313155770237,0.3973179002206982
34,-13.371765851974487,0.4760539904566851,0.7341361518535084,0.7278051696772216,0.6604679538824146,0.4322395433410785,0.47122544142387407,0.6656944525200723,0.8200211516592109,0.3730435336709606,0.47883300243972,0.7576092077314447,0.3394152964662133,0.7324125464416231,0.3405275182598378,0.7889931417658775,0.43418984024264273,0.8302615591438057,0.37992627316222966,0.7162161816084691,0.3953218390219186
35,-13.377238988876343,0.4765831257151831,0.7337466932895832,0.7289328304463721,0.6602285445937174,0.43300434169918317,0.47223283174505654,0.6669584479039503,0.8196175317077999,0.3740155365855552,0.4786793825908792,0.7578777758612667,0.3380642373121555,0.7321909828779393,0.339940537910771,0.7894893501981424,0.4355974401434386,0.828748035978431,0.3809994041463122,0.7154853512644319,0.3959064117784936
36,-13.384177476167679,0.47892129075688394,0.7314839544864633,0.7309999893450012,0.6596099303254438,0.43399467436902717,0.47216678116227057,0.6685824093414813,0.8189409205432685,0.37390551880004835,0.4785061584931398,0.7564297733121594,0.33498205818178717,0.7311454400792167,0.33801952320328454,0.7899342060873027,0.4393166077837492,0.8268436966904334,0.38310442539563316,0.7140935970302815,0.3959816516811777
37,-13.390066862106323,0.48071017447323605,0.7283394396531347,0.7332043877470382,0.6580140709645563,0.4348837924279478,0.4713461680107574,0.6690944366514624,0.8198652941751938,0.37354271432341735,0.4789713213001368,0.755033157203387,0.33309042126585603,0.7300858244731244,0.3353877935747377,0.7913984193784193,0.44190904985730467,0.8243344607531669,0.3848398376613369,0.7120757179589111,0.3954890870201888
38,-13.39386522769928,0.4843738803818768,0.7223385992655811,0.7364521715488475,0.6549292128398245,0.4377435292677801,0.470660264765267,0.6692814646858112,0.8225991754558508,0.37180771123307654,0.48046655584808706,0.7529494896388909,0.33022610484887094,0.7277096660109531,0.3309219371413176,0.7936524883109732,0.4469937079323227,0.81868569878483,0.38721849896619664,0.7095733771485917,0.39395638021568596
39,-13.402287423610687,0.4862501208930177,0.7185468976270223,0.7373133316519641,0.6519440089404157,0.4367764509327233,0.468443242433081,0.6686980138938174,0.8263465937614043,0.3678461479417585,0.4830892804874966,0.7503980488693509,0.3291796809975556,0.7260418216711803,0.3276219350103003,0.7934563546332281,0.4474908805285976,0.8163009136593957,0.3877281021741774,0.7074478177786139,0.39198735122714984
40,-13.406766146421432,0.48465568382547375,0.7209449806962889,0.7354380892496313,0.6512925125153126,0.43326046640977617,0.46732152337057464,0.6679135472913702,0.8270156343040097,0.36671373191865075,0.4833505831550045,0.7508116781103094,0.3308508426224559,0.7271736793667763,0.32903062665011107,0.79223683129682,0.4446027056975278,0.8189757269113707,0.38494815560167595,0.708737524949715,0.39160061537759727
41,-13.40688407421112,0.48415048871977273,0.721534717753543,0.7353202908983173,0.6515072228929343,0.43292834861652935,0.4676631561237329,0.6677933416183001,0.8266380163460612,0.36679187379526745,0.48331330150610774,0.7510241710875807,0.33094939005591845,0.7275392433473361,0.32968731812823593,0.7916480002480041,0.4441905988669241,0.8197384998280561,0.38475480744597357,0.7090327346459421,0.39178668109282755
42,-13.408079892396927,0.4838523390961091,0.7202829819610262,0.7379464413530905,0.6497418502412344,0.4310671508295767,0.4678022528271663,0.6684311998176994,0.8254496643781317,0.3657204347790579,0.4844233657117657,0.7494863542818619,0.32787416183851187,0.7286461790751679,0.3292223608640958,0.7888647129140237,0.4458049484828365,0.8203308419453493,0.3867548707465038,0.7071943195283076,0.39083443540735746
