iter,energy,gamma[0],beta[0],gamma[1],beta[1]
1,-19.14422008395195,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
2,-20.188571393489838,0.08086052285792576,0.0723243860411969,0.1405797433361871,0.13815058610616052
3,-20.19297033548355,0.08571897886066883,0.07448105062850309,0.1413550380985859,0.1397557369737814
4,-20.19301274418831,0.0858313729047837,0.07458271972702751,0.14144116477958613,0.13983618055434882
5,-20.19301274418831,0.08583137290668419,0.07458271972888751,0.14144116478108731,0.13983618055581734
