iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4]
1,-6.3179187178611755,0.8244547157443948,2.0087090872858666,0.7541997879611291,2.056699070075721,0.7205014928359653,0.526638570333944,0.526638570333944,0.526638570333944,0.526638570333944,0.526638570333944
2,-6.436418950557709,0.8233324260710576,2.024145014198986,0.7522545887347252,2.06492981501279,0.719634054184307,0.5316058538878917,0.5171084387003904,0.5386167648183373,0.5259105369094034,0.5311111214162422
3,-6.458203941583633,0.8201287463121288,2.0088946322463004,0.7498744139803925,2.0482856002617322,0.7176855722103369,0.5334461146646804,0.5174260951371994,0.5408071379317745,0.5274733606693839,0.5319174344126412
4,-6.464084476232529,0.8204825386516172,2.014277470775289,0.7496261403734882,2.0512168633565637,0.7171400184900533,0.5351949289427839,0.5145992107572622,0.5442357913853081,0.5275214571100969,0.5335330360070859
5,-6.46409198641777,0.8204077723762241,2.014041630650648,0.7496423664979026,2.05105649402051,0.7171919133820516,0.5350542709565218,0.5147153758474196,0.5440932262063746,0.5275346179428623,0.5335380021898107
6,-6.464092373847961,0.8204059787581116,2.0140340306665614,0.7496421191645526,2.0510491883942925,0.7171929423101034,0.5350524932568208,0.5147189593736904,0.5440917093784722,0.5275354978427229,0.5335376655787875
7,-6.464092373847961,0.8204059787579957,2.0140340306670725,0.7496421191642768,2.0510491883953543,0.7171929423100741,0.5350524932571271,0.5147189593745817,0.5440917093781321,0.5275354978430526,0.5335376655773402
