iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3],gamma[4],beta[4],phi[4],gamma[5],beta[5],phi[5]
25,-27.707725554704666,0.6103713686748976,0.6999652884362013,0.46559699923384074,0.6804551594875012,0.8379136793106655,1.243780878794466,0.9279467687697599,0.6899927067795925,1.0537850660177015,0.604028943360794,0.6518196822455601,0.7743715032764518,1.0258240690514007,0.5468198062317507,0.6862878027039973,0.9092326350644508,0.5097053945839639,0.5381072668035489
26,-27.711833208799362,0.6108929243828997,0.6997797429054767,0.46717784876127566,0.6805811704438637,0.8384459031182455,1.2427590506906612,0.9290744979266302,0.6911917819583214,1.0545912399496087,0.6044717739480878,0.6521187684058732,0.7747572923891137,1.0259427414545972,0.5469847100049237,0.68578038771721,0.9091744951407535,0.5116729536461716,0.5393730918857161
27,-27.71189770102501,0.6111936342632748,0.6993867628845948,0.46791013204521986,0.6808623404016064,0.8386637421826605,1.2422650941743467,0.9306333992817776,0.6915012598553824,1.0552061797599332,0.6054944735859682,0.6524354339015698,0.774917555300073,1.0254858539041225,0.5468034206161008,0.6859369367997357,0.9088403560394209,0.5124154005250263,0.5401266091436453
28,-27.71538484096527,0.6111398910699871,0.6997976563408511,0.4676398146843688,0.6807467123711828,0.8388599134619614,1.242699334856529,0.9302142301392667,0.6913993636591443,1.05553561934713,0.6050560193458153,0.6522306798407248,0.7745362094303259,1.025563103633384,0.5468732393436446,0.6856880994129951,0.908467610620806,0.5124163666788851,0.5398895216886131
29,-27.716713666915894,0.6107501244845878,0.7014749077685096,0.4663914158469453,0.6803825572364846,0.8395465399151726,1.2446615336212254,0.9284600501186135,0.6908554945879627,1.056666312255711,0.603313908334171,0.6514763468878519,0.7730312499609283,1.0257048476387114,0.546948996810206,0.68481280001285,0.9071383293530937,0.5119839573392798,0.538602863430715
30,-27.718015372753143,0.6107190663808092,0.7018544251147328,0.465805833631618,0.6806175478947422,0.8396485657192404,1.2449459171888277,0.9288553158347713,0.6910047445732755,1.0573966603256326,0.6035560401051565,0.6512289729434839,0.7735965729519887,1.02511153707948,0.5466628597769818,0.6850567644004162,0.9065357317908395,0.5118175068209279,0.5377814568979522
31,-27.721132308244705,0.6113174617099569,0.7009487262549272,0.4669177418164337,0.6805260185244896,0.8390434634369526,1.2436145855982639,0.9298070678566078,0.6917974378560099,1.0572902732903127,0.6047690527734053,0.6515716422983835,0.7747871831479298,1.0246453611790327,0.5462195317752008,0.6855501416182103,0.907275879744797,0.512608591819293,0.5382330204592383
32,-27.722341537475586,0.6116438609971464,0.7015122803588518,0.4666294608861834,0.6801155725251213,0.8387543010465206,1.244219536601852,0.9289655556444743,0.6919783115466198,1.0576877062474543,0.6039303189318823,0.6514149014706999,0.7739088428852993,1.0249542005133594,0.5463399689832722,0.685028872056981,0.9070336564289904,0.5127374452781288,0.5376803009617616
33,-27.722392350435257,0.6116298412806414,0.7015117967904868,0.4666201385996383,0.6801219443072842,0.8387586701229582,1.244193665344004,0.9289813235754888,0.6919547256029818,1.0576748424957239,0.6039214314015752,0.6514046242174598,0.7739057452845314,1.024935903044616,0.5463603026201127,0.6850219934305468,0.9070255147513527,0.512738120301206,0.5376948217503926
34,-27.722440272569656,0.6115310221918361,0.7011999310821156,0.4667696654166652,0.6802403126563691,0.8387439439630866,1.2437860969790784,0.9294240027811423,0.6918729322076803,1.0573297507911708,0.6041280006274384,0.6514474085614178,0.7739492765804977,1.024740410856765,0.5464803234618834,0.6851178702555841,0.9071665348064984,0.5126573178250828,0.5378593348379769
35,-27.722459614276886,0.6115307000498039,0.7011992174140892,0.46677010522274853,0.6802406536568834,0.8387440613492566,1.24378524916913,0.9294250981201002,0.6918728394710147,1.057329004189508,0.6041286100260419,0.6514475678501122,0.773949520344305,1.0247399388992853,0.5464804633837342,0.68511813854651,0.907166891630484,0.5126570539660552,0.5378596716466707
36,-27.722493052482605,0.6114120620290814,0.701040257469733,0.46698188053408185,0.6803515048633098,0.8388463952477329,1.2435960829183839,0.9298199608074597,0.6918254256818082,1.0571893008913802,0.6042847496217173,0.651517388947831,0.7738484720139048,1.0245251994683007,0.5464938460989185,0.685112701401289,0.9072093143373293,0.5126254006762896,0.5379867415533959
37,-27.72252783179283,0.6114103627706537,0.70103685014493,0.4669852601805165,0.6803513688928892,0.8388479826583994,1.2435927067084223,0.9298228030352133,0.6918243056699013,1.0571843538380674,0.6042859831162856,0.6515188585964103,0.7738444432514289,1.024525969074873,0.5464952018123962,0.6851122255721311,0.9072120650422569,0.5126248572275003,0.5379915747147963
38,-27.72252783179283,0.6114103627709292,0.7010368501445831,0.4669852601810009,0.6803513688925176,0.8388479826583051,1.243592706707702,0.9298228030353036,0.691824305670197,1.0571843538379428,0.6042859831164754,0.6515188585963894,0.7738444432513557,1.0245259690749693,0.5464952018124933,0.6851122255720732,0.9072120650424822,0.512624857228059,0.5379915747152744
