iter,energy,gamma[0],beta[0],phi[0],theta[0],gamma[1],beta[1],phi[1],theta[1],gamma[2],beta[2],phi[2],theta[2],gamma[3],beta[3],phi[3],theta[3],gamma[4],beta[4],phi[4],theta[4],gamma[5],beta[5],phi[5],theta[5],gamma[6],beta[6],phi[6],theta[6],gamma[7],beta[7],phi[7],theta[7],gamma[8],beta[8],phi[8],theta[8],gamma[9],beta[9],phi[9],theta[9],gamma[10],beta[10],phi[10],theta[10],gamma[11],beta[11],phi[11],theta[11]
11,-35.58513253927231,0.6275479029996639,0.6323955049974809,0.5082617257636042,0.7498010390750787,0.5321077867132649,0.772863073247885,0.562564274159366,0.7762759606716039,0.577089684006386,0.8011072077632427,0.6117054254270898,0.8055255620714127,0.6356618961975934,0.593305451365309,0.7831099981632909,0.633209133883671,0.7630775918753209,0.6388434425230962,0.7504710132789425,0.6417825601148748,0.7631686324363627,0.6683385419688151,0.7757487458798621,0.7553827260341166,0.764287950446318,0.7793715959507915,0.7064265014226803,0.7512265747323172,0.6529514516462402,0.7103474277080915,0.6448230909234183,0.7061966723848566,0.627031061304312,0.731137518810706,0.7212844950756666,0.7828358198032644,0.7507571786381878,0.761652528172374,0.6873954711750137,0.7094541317887175,0.6112924615644282,0.6501001800489554,0.6302758947755817,0.6231149298560693,0.717954167390398,0.6119564200665648,0.7695676695997459,0.7499197541224818
12,-35.955154061317444,0.6254289917227357,0.633279678467982,0.5112811577239156,0.7460760295747928,0.5326253708368407,0.7665726444136749,0.5616084813363403,0.774811564091664,0.577424523110645,0.794475113664139,0.6156115744866631,0.8004591022290288,0.6357796521031074,0.5936677961139436,0.7806945675633908,0.6334811129337744,0.7612132331009697,0.6423016946149541,0.7467359340929349,0.6439764097206682,0.7580405138676239,0.6642680380205604,0.7731250183801988,0.7515633790476515,0.766285143344406,0.7794381416965709,0.7032033929658751,0.7517910251254862,0.6550164072669082,0.7083039256285948,0.6396337777315719,0.7045316035614142,0.6253048067318611,0.7294168478486185,0.7143441098608472,0.7800811311809637,0.747559866681124,0.7578549303203,0.6822795106932902,0.7063914730710817,0.6162139117004863,0.6502008961662381,0.6332601234952205,0.6275987937178135,0.7145373147206467,0.6155416583681108,0.7644068521374239,0.7444903997377655
13,-36.02485245466232,0.6258269108895691,0.6343547521247334,0.5168351751251681,0.7440261887202375,0.5314004828466451,0.7638888238069134,0.5605169383598295,0.7732995516932102,0.5787342258550214,0.7924882328322103,0.6174822976142232,0.7982974889107891,0.6359079264342614,0.5942676844470433,0.778887381042362,0.6338101567238766,0.7597750347343498,0.6441508894996506,0.7454714580268446,0.6446580313445517,0.7573499839855575,0.6636399765213845,0.7731554556071368,0.7512920327123561,0.7664945451011738,0.7774367895458674,0.7001109056162566,0.7508156687847491,0.6552207890431443,0.7080220967359091,0.6373976457030532,0.704968974188781,0.6246071148649553,0.7290749632294645,0.7119484857882299,0.7807833492885632,0.7441929359308661,0.7531531376941675,0.6805442549512196,0.705001385772287,0.6192790259398679,0.6510178392288736,0.6342744180404483,0.627948891418585,0.712758792822617,0.6180655621685289,0.7616099811297704,0.7434569793282089
14,-36.04951113462448,0.6250105905899643,0.633788976807274,0.5189949234735934,0.7420670317962854,0.5329731869920861,0.7608030631122029,0.5605798064949018,0.7706914743290916,0.5796471739604978,0.7887848535211335,0.6176723685690378,0.7946452299524873,0.6355323144642234,0.5944985970001146,0.7760059408214194,0.6334794996839465,0.7576791684973959,0.6440199115835091,0.7435519507665501,0.6443462122668866,0.7550804453286044,0.6624295491777082,0.7709648445624332,0.7490093499425431,0.7647433008939071,0.7744038545760868,0.6978406689541501,0.747913219881137,0.6541079667792676,0.7080127163949371,0.6357270570729018,0.7042291483371108,0.6240141138723309,0.7276304074140558,0.7109887112437633,0.7778086005788134,0.7422137574916725,0.7506968009178865,0.6784350274086092,0.7030168418030497,0.620174152166658,0.6503940558260769,0.6341415362966568,0.6276153511053806,0.7100370622045831,0.6179759800761351,0.7591377039072051,0.7408184689866092
15,-36.06205594539642,0.6245735411335839,0.6335351133735055,0.5192699318516236,0.7408745757011594,0.5337325271489138,0.7587605633971881,0.5612899364585145,0.7686970106486194,0.5797885804918351,0.7859892626361935,0.6173139138717225,0.7915569261640437,0.6351870360443144,0.5943090201807671,0.7738157605006514,0.6328842578820547,0.7562711308428917,0.6434159556820903,0.7424186637446085,0.6438273038101788,0.7534991033031437,0.6616163113653218,0.7690093005696467,0.7471669823462502,0.762147408771743,0.7719436351403861,0.6964013764763045,0.7450536597384474,0.6530564390195885,0.7081417146990544,0.6347994946202916,0.7035423946703616,0.623790925642255,0.7266530359533955,0.7111069217662459,0.7750024450296292,0.7412811069292687,0.7497242178271647,0.6768774934895627,0.7014459087654358,0.620330092785361,0.6497006060155088,0.6336514195969444,0.6268227484264567,0.7078248178662087,0.6171745347328014,0.7574977537843116,0.7388935964541856
16,-36.10116130113602,0.6240711283775477,0.6314604102245226,0.5201373604998076,0.7421225287095339,0.5367049289469185,0.7576911447091107,0.5625668025807384,0.765150591177254,0.5801718462825678,0.7848685188647251,0.618223870878912,0.7917702481099219,0.6361545747311577,0.5956194740518109,0.7709537134283859,0.633232205221922,0.7559851882097636,0.6452129631396892,0.7438062482871374,0.645822401604993,0.7539176289950625,0.6618489550630634,0.7686734893346501,0.749267953601783,0.7591884229645345,0.7682177289183728,0.6935135178490308,0.7444057892707213,0.6538363577929354,0.7108819406286704,0.6312631876376629,0.7090761118283646,0.625995855755886,0.7277192126796825,0.7108113533106375,0.7733650973803736,0.7421456607510396,0.7466227319830511,0.6773965753225424,0.7006862600197029,0.6209694153189593,0.6493150824938948,0.6338453888362273,0.627142268041805,0.7069426699634315,0.6207304976361966,0.7573524254403978,0.7372125391859138
17,-36.17685624957085,0.62423393874575,0.6324462988999267,0.5193000503477946,0.744759953243928,0.5357517258593869,0.7620663056396326,0.5635643730367272,0.7683222164423629,0.5803095099740562,0.7893741453219406,0.6206618021115111,0.7969218403134894,0.6379875985170582,0.5970455189779723,0.7743533199405465,0.6351431656601406,0.7603558427982566,0.6475937740924818,0.7481465958103717,0.647417921660606,0.7592887693527476,0.6655503482896971,0.774846327041577,0.7565569425115153,0.7606312778067277,0.7715070761904754,0.6961348290191366,0.7492911089859879,0.6561966617384735,0.7154275497493974,0.6324969544978327,0.7162480195029725,0.6261729179837774,0.7330482620311011,0.7130271212852938,0.7787363214116987,0.7449771768863691,0.7474661780135357,0.682089670659186,0.7039563103856633,0.6222633868348361,0.6513251513043999,0.6352816592574703,0.6271939252466789,0.710456329892864,0.6240444639258692,0.7624370130577279,0.7418096730250846
18,-36.21187624335289,0.6233701818254574,0.6340569746808568,0.518402115388788,0.747285988455691,0.5345408829693142,0.7662282477997481,0.5647490900131168,0.7720124473104898,0.5799426352542991,0.7922278241340985,0.6230433136920712,0.8010567740208803,0.6395710483453452,0.5971862390044145,0.7776225135423667,0.6369501542822411,0.7639624103231512,0.6495888185498087,0.7516494055857911,0.6485528215584984,0.7639108975103454,0.6686716822809627,0.7799402038732655,0.7620304218679774,0.7614138257442666,0.7752969851295012,0.6986848099371951,0.7536588838972432,0.6572278223546149,0.7190013963846213,0.6337006686465203,0.7202272545251545,0.6262016493151554,0.7371032101783611,0.714242701758793,0.7835869321282792,0.748007232140061,0.7493872089817799,0.6849783592569985,0.7062128296311675,0.62377822937794,0.6528116914150791,0.6376126876198046,0.6276002010913387,0.7132065663348406,0.6266781336914753,0.7662028382081235,0.7458038001280339
19,-36.25729635357857,0.6231386983594231,0.6353651480662348,0.5173544123832398,0.7479253145235341,0.5345686741526499,0.7680473474099887,0.5647896089085545,0.7758872753774492,0.5810454119187043,0.789502667090766,0.6237161290077667,0.8002696781920378,0.6411196764129159,0.5972518295403653,0.7796913720124612,0.6380215140545227,0.7663114151368451,0.6505112025925072,0.7521231305493344,0.6493283144445882,0.7662552086995031,0.6709969723032007,0.7835755569036993,0.7646864016826372,0.7595369942936966,0.7813751322430916,0.7015579276771721,0.7572883282624031,0.6559017822526052,0.7208421793425648,0.6352285759445406,0.719076488805198,0.625006235397344,0.7393257768323086,0.7154227870946406,0.7861927286319171,0.7492598031148201,0.7511065779745542,0.6847244178567392,0.7053412439749585,0.6268638760283144,0.6565015217252528,0.6408840840856744,0.6282028227914039,0.7135858360268897,0.6279710217349739,0.7678889908526684,0.7477251040425138
20,-36.26527380943298,0.6234642915569303,0.6359704671346335,0.5168562315415002,0.7480842566885093,0.534687125226243,0.7673737646729194,0.5641538217982909,0.7759037694553481,0.5810553369917224,0.788189097659564,0.6234782185159107,0.799121971546957,0.6414783423510634,0.5968074778774344,0.779571125435996,0.6377584657860391,0.765883164394044,0.6505846999632835,0.7517619285845918,0.649434286818667,0.765495922778154,0.6707820254661353,0.7830231440900723,0.7636390381867447,0.7590333697969436,0.7820917627222121,0.7017316176013356,0.7572731931811635,0.6545215357409049,0.7204882921509788,0.6350177295809403,0.7180880976844322,0.6242754459736423,0.7390388680386978,0.7149100126776932,0.7855745359553561,0.7489228050134454,0.7512689701765859,0.6837577488433257,0.7044470551246554,0.6277928664474325,0.6572193955434688,0.6412879473966189,0.6282803523089794,0.7130439690159402,0.6276199708590118,0.7674814713770407,0.7474897921463962
