iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9]
11,-27.652726113796234,0.5959694660110229,0.5180631187545605,0.5774468198309004,0.5927216445220137,0.562398866969161,0.6233268179655577,0.6252633909854164,0.5810491307024472,0.6121551012514073,0.6382076404972503,0.6345197561357655,0.616941023072014,0.5982793994451144,0.5983470745080169,0.5742155235310429,0.5685833948085207,0.578119679509103,0.5457837019172738,0.5793079204680466,0.6112047650574974
12,-27.660452723503113,0.5955772712866673,0.5139680754207525,0.5769635740405716,0.590280251846994,0.5605402112943431,0.6220521429782162,0.6249711082866661,0.5833154421215234,0.6124603922673156,0.642676695738601,0.6343728396183685,0.6186244328808498,0.6014053113246197,0.5984133250557174,0.5761098516591546,0.5699307695901625,0.5764992885794632,0.5408691306554791,0.5770901759474274,0.6114443079289831
13,-27.660546272993088,0.5951235054917107,0.512484993397279,0.576897285108205,0.5897301473273592,0.5600152244697425,0.6217469496760514,0.6245498919841906,0.5842676786797026,0.6127004516828378,0.6440340517917916,0.6341906131940099,0.6193588015152006,0.6025912178168857,0.5981122276832931,0.5767563979735755,0.5704254060479086,0.576308072660166,0.5393935996676114,0.5762405377667504,0.6115286479439049
14,-27.672350883483887,0.5949127447332097,0.5127332009390613,0.5770765334541835,0.5908323673544914,0.5606570884399192,0.6225946838266746,0.6239587859929163,0.583963927749255,0.612845999659432,0.6434097791499898,0.6345182845834355,0.6192082473779918,0.6019503568880172,0.5972143982328126,0.5763431712997198,0.5707109939889388,0.5769581178188518,0.5408213520195794,0.5762657073048139,0.6114993765731952
15,-27.6736920773983,0.5949444302644357,0.5130312355401628,0.577491333150358,0.5913945575541314,0.5610495879323353,0.6230893848460264,0.6233923516837298,0.5840237661050309,0.6129044631718202,0.6429151435911376,0.6344296122470041,0.6189663280817292,0.6014646500660376,0.5969861269234715,0.5762146957809317,0.5709773264843007,0.57744457351217,0.5415846202796847,0.5762658650153412,0.6115040482951138
16,-27.674212157726288,0.5949462514144624,0.5132995811637595,0.5777525106761054,0.5917922090774846,0.5612687476858472,0.6233646029316954,0.6230423453083089,0.5840470924900789,0.6129625512103892,0.6424251025511318,0.6343559091181058,0.6185730036609332,0.6010050464463744,0.596867797880701,0.5760955971277246,0.5710716694150616,0.5777323215152642,0.5421710811582895,0.5764408832473078,0.6116631991810019
17,-27.674251526594162,0.5949226826715273,0.5133110623168297,0.5778258763618128,0.591841121659485,0.5612591139421657,0.6233786049303424,0.6229460752544514,0.5841013986982998,0.6130086016353926,0.6423882286243442,0.6343287030293064,0.6184708705581744,0.6009426091036469,0.5968712114933271,0.5761227676290157,0.5711446738556099,0.5777876518600988,0.5422252487086602,0.5764252233124795,0.6117396076596836
18,-27.676009744405746,0.59447807640163,0.5120423325210638,0.5782205781692374,0.5917242227230798,0.5607032962963093,0.6234760436128408,0.6218882366196671,0.5856332358413109,0.6133355534670145,0.6428482438528584,0.63405523657659,0.6176719794502609,0.6011439828446564,0.5968445483060614,0.5766404244569966,0.5719639163941842,0.5779049414765832,0.5416407827724705,0.5764236176635771,0.6127114547403382
19,-27.684362292289734,0.594001083623378,0.5095254444836492,0.5776410821463724,0.5911970325054644,0.560219284276412,0.624260573079088,0.6212023044765607,0.5872935555705489,0.6132073266442669,0.6437113857837978,0.6340661307776092,0.6175163403572659,0.6015202954417914,0.5974122975979697,0.5765872489123539,0.5717304754675221,0.5777891802776961,0.5406047276337639,0.5769289436873059,0.6135628344627673
20,-27.685780823230743,0.5938579017976664,0.5084350771249893,0.5772591751038108,0.5908425756248882,0.5600814839212699,0.6243172089840899,0.6211704307888576,0.5879360909731489,0.613192131648695,0.6443582182907834,0.6339541999461957,0.6175338600502132,0.6017237089773272,0.597681613921414,0.5765429151412712,0.5716125073364734,0.5776030912995261,0.5399130887819384,0.577111572109532,0.6136896681803097
21,-27.687127739191055,0.5936626940517301,0.5073410685609467,0.5766681542978558,0.5905671050903947,0.5599749897065543,0.6244024538837278,0.6213175156995487,0.5883912863965369,0.6131460950068919,0.6450153979784418,0.6338666005151622,0.617766915062377,0.6019357320580709,0.5978653000698294,0.5763903476470276,0.5713175896139846,0.5774358873424427,0.539331354843018,0.5773298682393805,0.6137502054968058
22,-27.688779056072235,0.5934879173712445,0.5065963674191702,0.5766115353508414,0.5906633493888935,0.5598394059632451,0.6245570273514159,0.6210606153826231,0.5888418717181194,0.6132769100880561,0.6454783013053011,0.633850345736346,0.6177329850721729,0.6019634110320979,0.5976851121862992,0.5764623363340194,0.5715199777968669,0.5775124642739229,0.5390299267595923,0.5773273351866529,0.6141309698758423
23,-27.689947694540024,0.5929012649069658,0.503976264240213,0.5762733528301522,0.5907174481945038,0.5593015311730307,0.625051682825163,0.6202613604410919,0.5904824400245373,0.6136145552152757,0.6469770181186292,0.6337622798425,0.6175470808473666,0.6021524274656554,0.5974419615437871,0.5766776260124657,0.5720087007188176,0.577653000359574,0.537918274472796,0.5774669725091892,0.6153868354987915
24,-27.689947694540024,0.5929012649068234,0.5039762642395962,0.5762733528300455,0.5907174481944925,0.5593015311729088,0.6250516828252677,0.6202613604409496,0.590482440024899,0.6136145552153341,0.6469770181189773,0.6337622798424816,0.6175470808473476,0.6021524274657197,0.5974419615437374,0.5766776260124978,0.5720087007188783,0.5776530003595888,0.5379182744725147,0.577466972509219,0.6153868354990375
