iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11],gamma[12],beta[12],gamma[13],beta[13],gamma[14],beta[14],gamma[15],beta[15]
11,-27.71203777194023,0.5992752891469627,0.5589914636734603,0.6045447718433923,0.6057339269264846,0.5746756602610069,0.6419902496098403,0.621839287673621,0.5651900023387639,0.6287773731214276,0.6152770168991285,0.5895157778011402,0.6229469624032062,0.6491485856636775,0.6047038764717145,0.6019059346835733,0.6442406755461338,0.6523385056649036,0.6030796635810843,0.6022736159981799,0.607187810888463,0.5763982933633943,0.580368438965103,0.599438121334003,0.5915350985670341,0.5805219497688864,0.5956189992501197,0.6009068631091681,0.5734779057999481,0.6028587326667754,0.5886052493350858,0.6148535258995405,0.6181894799439772
12,-27.71205034852028,0.5993651623994116,0.5586179750066319,0.6045680958711501,0.6056251812291973,0.5746001788964122,0.6420276242683035,0.6216546264271093,0.5650551516595934,0.6286678637721802,0.6152074513464525,0.5896291698839711,0.6227702737841305,0.6494030659010805,0.6046608627749195,0.6018924012577191,0.6441487729510019,0.6523022803414983,0.6031633296719743,0.6026766153126152,0.6072416558352044,0.5763594186416162,0.5804136984598788,0.5995415835610104,0.5915541696820672,0.580264846840425,0.5957573004583491,0.6009224311629328,0.573259387318789,0.6023726346733594,0.5883624061969103,0.6148919797205363,0.6183671624369217
13,-27.71785119175911,0.5995023437922905,0.5586400593891159,0.6043077073654332,0.605814263605117,0.574908962730527,0.6419148160339028,0.6213063947318141,0.565254516945553,0.6283513695204491,0.6149152654322705,0.5900259637825714,0.6226937143456303,0.6488752597558004,0.6044809252342994,0.602015551037895,0.6436929969713474,0.652077860868338,0.6031555297428853,0.6027594483596341,0.6070593428555093,0.5766236744867493,0.5805083746071802,0.5996625200499522,0.5918356733044892,0.5802883581848804,0.5959335242883397,0.6008040236782244,0.5732166443360444,0.6025940111754458,0.5883651986533303,0.6148604567966492,0.6184544138879672
14,-27.721166014671326,0.5996718001178818,0.5583830225940881,0.6040664313472522,0.6061155504984842,0.5752122071340822,0.6418702101911515,0.6206973522569106,0.5654568563300361,0.6280111644504874,0.6144843578145457,0.5905531604068959,0.6226143495029036,0.6484325117680795,0.6042361458589638,0.6023638316835149,0.643161612758803,0.6519904777112312,0.6033039880515323,0.6032816286857137,0.6069923383151313,0.5773011174863546,0.5808897850534713,0.5999425428450267,0.5923265192452428,0.5801149381505215,0.5964622042261588,0.600801730339868,0.5728895942955076,0.6027021186827148,0.5881812342435709,0.6148513557490856,0.618863676343514
15,-27.72141796350479,0.5996852573769713,0.5583113513104943,0.6040528811374519,0.6061382462620355,0.5752159329013079,0.6418870915297966,0.6206497607734114,0.5654526302056986,0.6280008189155327,0.614463550718923,0.5905978320600748,0.6226112249354622,0.6484487533142475,0.6042162752947666,0.6024073316309297,0.6431497544444096,0.6520091014394529,0.603324372283168,0.6033520811707269,0.6069928115904037,0.577380996498571,0.5809139283020381,0.5999819867779497,0.5923802760632823,0.5800748364712531,0.596526327873731,0.6008038032904518,0.5728561585342979,0.6026879864869892,0.5881651425879991,0.6148830641705805,0.6189340851513015
16,-27.721432477235794,0.5996853505045164,0.5583109781006068,0.6040527567559528,0.6061383384864951,0.5752159461537842,0.6418871957009538,0.6206495332626318,0.5654526480881589,0.6280006846060676,0.6144633219758898,0.5905980868248067,0.6226111206646545,0.6484488040601722,0.6042162364098091,0.6024074800241985,0.6431495566845016,0.6520091089576778,0.6033244557089065,0.6033524708890787,0.6069927884528269,0.5773812665506012,0.5809140215841512,0.5999821053236851,0.5923805559973992,0.580074636355667,0.5965266814729473,0.6008038334643121,0.5728558491851033,0.6026878613775906,0.5881648830898005,0.6148832228829693,0.6189345091891403
17,-27.72149521112442,0.5996504498710099,0.5582732520128904,0.6040886257427871,0.606069015000429,0.5751075277517693,0.6419624241022306,0.6208264142479073,0.5653676887420155,0.6280831417059359,0.6145673048501372,0.5904812954883053,0.6226056722103764,0.6486379507879941,0.6043001593801519,0.6023057187367626,0.6433031547051543,0.6520889604635156,0.6033064295390559,0.603278641068789,0.6070320410164615,0.5771599622046896,0.5808046374190966,0.5999102461019703,0.5922770142503362,0.5800785935836205,0.5964014229947016,0.600809873664549,0.5728700400988204,0.6026190261238049,0.5881534116766826,0.6149318793561598,0.618883283974061
18,-27.721534252166748,0.5996515777053556,0.5582367829418016,0.604050506995503,0.6060583882612403,0.5750819661984549,0.6420195172320879,0.6209245724002164,0.5653268311776638,0.6280873317817756,0.6145958112713839,0.5904677454538572,0.6225829137775798,0.6487015434451371,0.6043525194585496,0.6022205120825564,0.6433353637293636,0.652148266588871,0.6032991284142646,0.6032315302104901,0.6070665289105458,0.5769876460790426,0.5807325167428137,0.599858907968673,0.592235065142537,0.5800905082755053,0.5963050471385648,0.6007819722401073,0.5728471625129071,0.6025983393586941,0.5881317087798738,0.6149496174594782,0.6188511229727789
19,-27.721666246652603,0.5996826225953458,0.5581965210687345,0.6040201828415716,0.6060862955721207,0.5751423560887754,0.6419606412224994,0.6208173966477014,0.5653113719831199,0.6280161073834433,0.614605386686254,0.5905448324451399,0.622583026119719,0.6486298959236454,0.6042781885178607,0.6022528918376676,0.6432548610562353,0.652088449038371,0.603280434942788,0.603264144741088,0.607042745360361,0.5771071380387018,0.5807580128446208,0.5999150463892166,0.5922659734834348,0.5800729278864107,0.5963440014559805,0.6007184647761046,0.5728525023056318,0.6025829879112202,0.5881621794663271,0.6149333492846049,0.6188734121470657
20,-27.721859961748123,0.5996662359802298,0.5581626900377548,0.6040650100931851,0.6060877232713073,0.5751254398196486,0.6418931226735037,0.6207592119278893,0.5652771245231077,0.6280125567363639,0.6146436693796955,0.5905344603497317,0.6226161478664202,0.6486456035741377,0.6042439841020822,0.6022887123028866,0.6432764276579328,0.6520866470715067,0.6032783518124717,0.6032607059088874,0.6070666316868633,0.5772098262673844,0.5808018488937213,0.5999330675307061,0.5922581447089036,0.5800427223250272,0.5963816591159539,0.600737907318578,0.5728481296949351,0.6025591006351914,0.588185364701893,0.6149040524815581,0.6189037443584959
21,-27.722333431243896,0.5996695399720189,0.5580800271087375,0.6040899757538507,0.6061633245579396,0.5751364184838976,0.6418133006390122,0.6206014191577717,0.5652590873204123,0.6279782246132628,0.6146358148684616,0.5905870953372453,0.6226805070653266,0.6485984900498546,0.6041814348775689,0.6023900011408492,0.643251060102017,0.6520868083956985,0.6032841950858095,0.60330394355139,0.6070935192744354,0.5774673276009656,0.5809351211347092,0.5999840066098162,0.5923514688393678,0.5800003027320828,0.5965155204800717,0.6007761971145829,0.5727982048787131,0.6026070990661241,0.5882047111101364,0.614868768261624,0.6190237350388894
22,-27.722352504730225,0.5996951304180234,0.5579025792926164,0.6040483283098155,0.6062726508821936,0.5751908032496962,0.6416893011614584,0.6203708064397722,0.565188453434214,0.627835177034358,0.6146472375180383,0.5907267807530643,0.6227075205491992,0.648504546134153,0.604069423801776,0.6024620738626923,0.6431490119199045,0.6520685770564291,0.6032882009876792,0.603326604368666,0.6071381218125481,0.5776947417993434,0.5810549011175308,0.6000482655188044,0.5924718172466849,0.5799339008524671,0.5965976742229885,0.600749521576142,0.5727199980938347,0.6026079516686842,0.5882233771854103,0.6148059109331149,0.6191169158892921
23,-27.722619742155075,0.5996969048111164,0.5578856233423354,0.6040461995706161,0.6062841336834193,0.5751949975986446,0.6416768254888363,0.620347765736199,0.565182059495955,0.6278232041635377,0.6146485329864901,0.5907387445875664,0.6227121061258767,0.6484963719851727,0.6040588737250671,0.6024720596861948,0.6431409018592994,0.6520686382799981,0.6032886783211631,0.6033303873652746,0.6071436090234639,0.5777220358301606,0.5810689167646589,0.6000551264913051,0.592484294180683,0.5799272175047414,0.5966089304344928,0.6007495623860444,0.572712577197489,0.6026104148506749,0.58822493061631,0.6147999726037744,0.6191287649153109
24,-27.722660928964615,0.5996969077717036,0.5578856101070445,0.6040461887083427,0.6062841471692375,0.5751950021617949,0.641676825139609,0.6203477566076718,0.565182057240533,0.6278231922724119,0.6146485270445627,0.5907387562915648,0.6227121047466341,0.6484963633462236,0.6040588731767369,0.6024720613060485,0.643140891600189,0.6520686442490269,0.6032886807303797,0.6033303893814984,0.6071436161721141,0.5777220379198179,0.5810689240605857,0.600055125748922,0.5924843080707224,0.5799272155140998,0.5966089317022911,0.6007495631835571,0.5727125668942225,0.6026104228771693,0.5882249241344576,0.6147999703493218,0.6191287723710585
25,-27.722660928964615,0.5996969077717424,0.5578856101070462,0.6040461887082272,0.6062841471693302,0.5751950021618554,0.6416768251396457,0.6203477566076759,0.5651820572405679,0.6278231922723247,0.6146485270444895,0.5907387562916231,0.6227121047465952,0.6484963633461134,0.6040588731767773,0.6024720613060367,0.6431408916000643,0.6520686442490383,0.6032886807303595,0.6033303893815223,0.6071436161721367,0.5777220379197527,0.5810689240605932,0.6000551257488873,0.5924843080708018,0.5799272155141492,0.5966089317022742,0.6007495631835494,0.572712566894184,0.6026104228772893,0.5882249241343619,0.614799970349323,0.6191287723710827
