iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-9.0733982026577,0.5185291222808764,1.3823297907829657,1.9927239255659668,0.6312392335880814,1.393995879360507,0.5002829932835572,1.5401528867019336,1.2476089811526996,1.8361327336485576,0.49431227570086733,0.5464166580119486,1.4475110353555638
2,-9.958921164274216,0.4417075404824612,1.3764362479660857,1.9284295934134854,0.6423020333018787,1.3944857036799954,0.5018136916091858,1.5589189552992655,1.2494376591031462,1.8781871558852614,0.5132244695905098,0.5437652137469174,1.449621734366465
3,-9.973460257053375,0.4344600336565108,1.3771003035726905,1.9341449254121599,0.6522468275019832,1.3935113075042431,0.49345734134874897,1.557899769812332,1.249110718168915,1.8789556789537738,0.5098498314209639,0.5429646058168388,1.4488005495163556
4,-9.974006831645966,0.43580906283005116,1.377166197314077,1.9346540328056803,0.6529928899709231,1.3933571692175548,0.49180234491680175,1.5576068667922351,1.2489988192399115,1.8800632958060626,0.5086434817983847,0.5422930937310647,1.448103386140149
5,-9.97423967719078,0.43634834596147226,1.377272017360338,1.9354917480823546,0.6534723647643569,1.3930236705976564,0.4906846991038776,1.5574398542176864,1.2488793456737015,1.8806394870390006,0.5075347716040574,0.541969847926286,1.4476608144087042
6,-9.97430408000946,0.4366985188901193,1.377270130877696,1.9360484005141931,0.6537579862630253,1.3928469992956425,0.4899930032531883,1.5575115338871701,1.248748880106058,1.881105443609364,0.5070844035960164,0.5418014210911773,1.4474093257537408
7,-9.974330633878708,0.43715666361466016,1.3773225055133274,1.9362203364063302,0.6537955174928625,1.3927661976210377,0.48983229613408424,1.55752089122342,1.2487360754372332,1.8811889976208622,0.5069399216449828,0.5417489870949218,1.4472314130112933
8,-9.974335134029388,0.43722844416538,1.3772650507221764,1.9363111257689387,0.6539328030088308,1.3926360054550742,0.48943197829128776,1.5575520384112314,1.2486883386913543,1.8812032396173668,0.5069168910142622,0.5415511118807605,1.4473587828281966
9,-9.974333375692368,0.4371295604405492,1.3773186756172164,1.9362478994990138,0.6540245030799844,1.3927222100854861,0.4894396393447717,1.5574572266059836,1.2485671980675048,1.8813356182518175,0.5066619974748522,0.5414494938668772,1.4473488684419906
