iter,energy,gamma[0],beta[0]
0,-1.067372903227806,0.5981514699757099,0.5903253335505724
1,-1.1799236238002777,0.5963970966637134,0.5800159987062216
2,-1.3054773211479187,0.5947260990738868,0.5690836723893881
3,-1.4440292567014694,0.5931210204958915,0.5575595911592245
4,-1.5949794054031372,0.5915575459599495,0.5454937782138586
5,-1.7570063471794128,0.5900031313300133,0.5329591672867536
6,-1.928082674741745,0.5884181842207908,0.5200487714260816
7,-2.1055209636688232,0.5867572113871574,0.5068753253668546
8,-2.2861725836992264,0.5849716648459434,0.49356528036296365
9,-2.4666831344366074,0.5830099940299988,0.48025426678359506
10,-2.6438177078962326,0.5808231368660927,0.46707747541368005
11,-2.814776450395584,0.5783656969666481,0.4541606869548559
12,-2.977343186736107,0.5756003394722938,0.44161957167088983
13,-3.130086213350296,0.5724966958165169,0.4295482005923986
14,-3.272344410419464,0.5690346345305443,0.4180169817060232
15,-3.4040923416614532,0.5652022793889045,0.40707797966897485
16,-3.5258715748786926,0.5609985873103142,0.39675672017037866
17,-3.6385750770568848,0.5564285948872566,0.3870622780174017
18,-3.743283972144127,0.5515034630894661,0.37798921428620813
19,-3.8411754965782166,0.5462391659617424,0.36951888762414453
20,-3.933387979865074,0.5406564906239509,0.36162380538880823
21,-4.020989924669266,0.5347772374749183,0.3542701493948698
22,-4.104903966188431,0.5286249354481697,0.34742239527404306
23,-4.185901701450348,0.5222239255905151,0.34104550294578073
24,-4.26463657617569,0.5155996143817901,0.33509958200156686
25,-4.341614156961441,0.5087748229503631,0.3295494358986616
26,-4.4171833992004395,0.5017750918865204,0.3243645172566175
27,-4.491647362709045,0.4946224451065063,0.31951018087565897
28,-4.565165936946869,0.4873409628868103,0.3149571012705564
29,-4.637834310531616,0.479952073097229,0.3106819879263639
30,-4.709703683853149,0.47247610092163084,0.306657899543643
31,-4.780759632587433,0.4649337291717529,0.3028642427176237
32,-4.850943148136139,0.4573462069034576,0.29928161613643167
33,-4.9201904237270355,0.4497294187545776,0.29589157216250894
34,-4.9883928298950195,0.4421027064323425,0.2926819514483213
35,-5.055445820093155,0.434482342004776,0.28963545374572275
36,-5.121248364448547,0.4268831968307495,0.2867391150444746
37,-5.185674369335175,0.41932070851325987,0.28398290686309335
38,-5.248611509799957,0.41180834770202634,0.28135790340602396
39,-5.309943974018097,0.40436030030250547,0.27885495536029337
40,-5.369593143463135,0.3969861626625061,0.2764650177210569
41,-5.427458763122559,0.3896985113620758,0.27418260686099527
42,-5.483461380004883,0.3825081348419189,0.27199821583926675
43,-5.53755658864975,0.37542147040367124,0.26990782134234903
44,-5.589680552482605,0.3684485018253326,0.26790716163814066
45,-5.63978898525238,0.36159676909446714,0.2659927498549223
46,-5.687872052192688,0.354871666431427,0.26415615193545816
47,-5.733908414840698,0.348280793428421,0.26239444725215433
48,-5.777908623218536,0.34182567000389097,0.26070671193301675
49,-5.8198806047439575,0.3355127930641174,0.2590858232229948
50,-5.85983943939209,0.32934520244598386,0.25752945654094217
51,-5.897821128368378,0.32332459688186643,0.25603653900325296
52,-5.933858156204224,0.3174548208713531,0.2546025704592466
53,-5.968006908893585,0.31173509955406187,0.2532213818281889
54,-6.000305652618408,0.30616763830184934,0.25189565531909464
55,-6.030815482139587,0.3007518410682678,0.25062285773456094
56,-6.05959939956665,0.2954875886440277,0.24939851872622965
57,-6.086707353591919,0.2903761029243469,0.24822150580585
58,-6.11222517490387,0.2854134202003479,0.24708886854350565
59,-6.136211633682251,0.28059968948364256,0.24599765650928018
60,-6.158730328083038,0.2759335994720459,0.24494706504046915
61,-6.179845452308655,0.27141291499137876,0.24393578283488748
62,-6.199630260467529,0.26703584790229795,0.24296333305537698
63,-6.218151390552521,0.262798136472702,0.24202846400439737
64,-6.23548036813736,0.25869796276092527,0.24112756960093973
65,-6.251670956611633,0.2547344624996185,0.24025889150798319
66,-6.266794741153717,0.2509021520614624,0.23942126743495462
67,-6.280907571315765,0.24720037579536436,0.23861469738185404
68,-6.2940685749053955,0.24362409710884092,0.23783810846507547
69,-6.306330442428589,0.24017185568809507,0.23708959333598612
70,-6.31775164604187,0.2368385553359985,0.23636807911098
71,-6.328391194343567,0.23362196087837217,0.23567147962749002
72,-6.338286459445953,0.23052007555961607,0.2349994074553251
73,-6.347489237785339,0.22752887606620786,0.23435052148997781
74,-6.356041043996811,0.22464469671249387,0.2337273847311735
75,-6.363984107971191,0.2218648999929428,0.23312214426696298
76,-6.371369808912277,0.21918549239635465,0.23253949396312235
77,-6.3782263696193695,0.21660389602184293,0.23197654299437998
78,-6.384582847356796,0.2141167730093002,0.23143525831401346
79,-6.390483736991882,0.2117223650217056,0.23091131858527658
80,-6.395957261323929,0.20941582918167112,0.23040536455810068
81,-6.401027798652649,0.20719569027423856,0.22991903536021707
82,-6.405729025602341,0.20505710542201994,0.22944678775966165
83,-6.410095930099487,0.20299861431121824,0.22899020127952097
84,-6.414138525724411,0.20101792216300962,0.228549812361598
85,-6.417874813079834,0.19911203384399412,0.22812600843608377
86,-6.421343743801117,0.19727776050567625,0.22771341018378732
