iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3]
1,-12.703642219305038,0.5965104751272884,0.6030277400580956,0.6302251230547724,0.5957511475170543,0.6445186700052924,0.5957511475170543,0.6444097584924113,0.5957511475170543,0.6,0.6,0.6,0.6
2,-12.897204846143723,0.5948258608666414,0.625472686004511,0.6613367285838668,0.6133243934296999,0.6707808249909589,0.5774180309338726,0.6697712739254541,0.5764806687356046,0.6,0.6,0.6,0.6
3,-12.927902936935425,0.5936323033130579,0.621367675728273,0.662078264558876,0.6098246383595803,0.6737320693995276,0.5805459358600272,0.6729129392612123,0.5794282132064116,0.6,0.6,0.6,0.6
4,-12.92821142077446,0.5940286887792864,0.6208818005643315,0.6607262882777991,0.6094551162344068,0.6730442295894139,0.5809954897191035,0.672159724663088,0.5797831008574075,0.6,0.6,0.6,0.6
