iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5],gamma[6],beta[6],gamma[7],beta[7],gamma[8],beta[8],gamma[9],beta[9],gamma[10],beta[10],gamma[11],beta[11]
11,-16.34261879324913,0.5941211574615667,0.6231623209434162,0.5351103091190009,0.6185828508064446,0.6310086664225113,0.6007534407049775,0.6270378916816514,0.5795493631780422,0.6277272260192919,0.6132324810472247,0.575866902124693,0.5922511765976822,0.6080432138514497,0.6466315620444387,0.6198803691092315,0.6260681207596104,0.6704862615512701,0.5862450955731859,0.5992567211344798,0.6562356620776035,0.6351706162631372,0.5685726812532316,0.6374180038857652,0.5476751651457036
12,-16.375953555107117,0.5938875024467715,0.6245699701218967,0.53452912406814,0.6176808380047614,0.6323715401987787,0.6008871683401791,0.626121413130646,0.5814340789664458,0.6286296315769487,0.6122593743104624,0.5754266513091909,0.5931237334599389,0.6098403748839297,0.6492154619652364,0.6192989155620251,0.6266660063940164,0.6725727199604404,0.5855627230581315,0.5987671092919602,0.6558611097808377,0.638433140029415,0.5679920265529721,0.6379203304075888,0.5470568933846214
13,-16.38964205980301,0.592608006392841,0.629341037851304,0.5297330755397676,0.6162059198146612,0.6319055858092424,0.5990049495637219,0.6258536912605963,0.5822982172643298,0.6276465968508295,0.6099728863317808,0.5718858107755881,0.5896802440879062,0.6125566559841362,0.6508291131381186,0.6184430108902359,0.6240990020160367,0.6730699800493932,0.5841886352548439,0.599429657309281,0.6529152717366643,0.6414538830370495,0.5654910261719351,0.6357173736371908,0.5442627893641161
14,-16.398774027824402,0.5908572405438997,0.6299167570425199,0.5271205119170481,0.6152905377172084,0.6320156997781122,0.5974690615655702,0.6248468546614148,0.5826537252488277,0.6276281633170376,0.6091003452501965,0.5709884895734364,0.5877541985612413,0.6135162509853401,0.6512795375204234,0.6193786027740594,0.6223785518927961,0.6728620792419946,0.5825447722935256,0.6002633960121887,0.6516245795912409,0.6437289507402791,0.5640113919619899,0.6346006634417332,0.5437682955333973
15,-16.40366569161415,0.5884576213792541,0.6323689499752927,0.5220542363098006,0.6141237339380144,0.6310575651603407,0.5952401206553528,0.6237744272295127,0.5828228772978741,0.6264401527148415,0.6075359177430252,0.5690623725800629,0.5834273073535735,0.6156124937578329,0.651578471774179,0.619596215334103,0.6185667800257625,0.6717123552279098,0.58100893798174,0.6012893054527075,0.6478525353677056,0.647428372862705,0.5614409537003894,0.632403881893709,0.5431396519397871
16,-16.412156492471695,0.5862124518565446,0.6323736377470066,0.5201289596567461,0.6131560377358878,0.630128685950616,0.5945023131040017,0.6221075589363041,0.5822941906944216,0.6260445981235367,0.6076221038594407,0.5692543704775328,0.5803971378257277,0.6172076371638295,0.6503791145036867,0.618746909165588,0.6162402274448365,0.6709601243024521,0.5803074360634107,0.6011448218356868,0.6454009916728686,0.6488270851815894,0.5602968670283041,0.6307881306422081,0.5433485434517106
17,-16.41431427001953,0.5818561857846091,0.6342607924210337,0.5151733905569547,0.6110947679800101,0.6282066918737734,0.5929583813221497,0.6195341909256782,0.5812662408330349,0.6249545712597946,0.6070947067743687,0.5680832034363316,0.5745867633736056,0.6206393661454266,0.6485617401179494,0.6176598344994284,0.6117583440915543,0.6696344618886315,0.5781598348172416,0.6014253592199975,0.6410792752610451,0.6516615364182726,0.5577263083673346,0.6279999054448043,0.5425966476339396
18,-16.41457697749138,0.5810996010082411,0.6346016018619026,0.5143710269971004,0.6106904243398349,0.6278565090087018,0.5927319742053319,0.6191308642613994,0.5811177694976156,0.624776591581947,0.6070445142928833,0.5679229028707125,0.5736771245274829,0.6212574791531813,0.6482021479462898,0.6175169693934294,0.611141157506559,0.6694530945044118,0.5777503726975531,0.6014822558852756,0.6404489784502807,0.6520663761965556,0.5572589619827867,0.6276702991731364,0.542411544061819
19,-16.427010536193848,0.5806951905616917,0.6350956802224312,0.514448672152087,0.6099965176520702,0.6272179671182847,0.5942447570102292,0.6194980685656467,0.5808266936516355,0.6243724064847738,0.6076602407903194,0.5680481310872217,0.5744413712578208,0.6217944763554467,0.6470870511176395,0.6170711925778688,0.6124204431293727,0.6698417286634537,0.5769879825674264,0.6011591819383706,0.6416596353459256,0.6501973763425808,0.5576255709612457,0.6290329860608611,0.5417927508704106
20,-16.436234921216965,0.5805801049534981,0.6366909823316952,0.5128339727351378,0.6081571778589755,0.6269165768707924,0.5955462866977858,0.6197035144204485,0.5809130279204566,0.6243963082174768,0.6071678458513964,0.5679382060657232,0.5739102946410026,0.6229923784521716,0.6469281738699287,0.6170190229005451,0.6130742071610811,0.6706414797065129,0.5756396318215065,0.6004120967736074,0.6422314352731646,0.6502594091550716,0.5568816309701883,0.6305566399247818,0.5399659662184647
