iter,energy,gamma[0],beta[0],alpha[0],gamma[1],beta[1],alpha[1],gamma[2],beta[2],alpha[2],gamma[3],beta[3],alpha[3],gamma[4],beta[4],alpha[4],gamma[5],beta[5],alpha[5],gamma[6],beta[6],alpha[6],gamma[7],beta[7],alpha[7]
13,-27.73203733563423,0.5941088178168614,0.5484229074633311,0.5922223946060854,0.6420947834662571,0.5641967193822383,0.7145091456109621,0.6501464798651185,0.6170121161743763,0.6614401508771984,0.6375558769562538,0.5996125780768647,0.623448745087594,0.5759592624771495,0.595761032002275,0.6872999469717544,0.6091786310917865,0.7085413769322261,0.6578649009842681,0.6247165624607497,0.6052105547789322,0.6049081310714969,0.556932590677264,0.5712677246342239,0.7047944297232875
14,-27.732133209705353,0.5941789445535175,0.5484934198117328,0.5921444077215169,0.6422786411905915,0.5641315164417577,0.7147628426622298,0.6500156645145866,0.6170030500561565,0.6613408435398522,0.6372769255673116,0.5996558106201318,0.6231712301958419,0.5759707297628978,0.5958747187106048,0.6871630742506945,0.6093591622452719,0.708639642136295,0.6580785435203556,0.6248767382885358,0.6052209335523633,0.604832824105666,0.556957866503158,0.5712945010385899,0.7049574441856
15,-27.732315599918365,0.5943517261456005,0.5483715767557843,0.5921174320500456,0.6425058052382382,0.5639061501724938,0.7151207757845232,0.65038636455113,0.6171723121019149,0.6615965114750191,0.6371198121356902,0.5998152676561695,0.6231826712132381,0.5757637648555691,0.5958248349010649,0.6872056108030823,0.609452253758664,0.7091192929923812,0.6584450883990599,0.6249856656710215,0.6054247686687152,0.6048534309130916,0.5569086640024822,0.5713577396713817,0.7056381288934924
16,-27.732359677553177,0.5944185168531727,0.5483509010764009,0.5921348591212091,0.6425496372689569,0.5638730765003963,0.7151994213561544,0.6504905404426266,0.6172241822156059,0.6616323186732882,0.636998797116131,0.5998808465406201,0.6231561390378562,0.5757492414890053,0.5958267292035998,0.687178119401642,0.6094642917150125,0.7092254294594829,0.658553986516427,0.6250511769177614,0.6054673930094268,0.6048794105924116,0.5569097796402904,0.5714314793973826,0.7058426934494345
17,-27.73314067721367,0.5945739347157991,0.5484153764180314,0.5923186302455735,0.6424996069772282,0.5640236510052545,0.7151128696833745,0.6504567810952632,0.6172609163233448,0.661860150353491,0.6368661893034497,0.599907927508335,0.6232697254867452,0.5758635408879845,0.5957476096694041,0.6872575008021644,0.6093954274047432,0.709089092984897,0.6586789311427954,0.6251837868210466,0.6053389118072294,0.6049536873846907,0.5569823125394169,0.5716410973898357,0.7058985024916318
18,-27.73400977253914,0.5945756287160694,0.5483961611409334,0.5924044286496307,0.6423079635441251,0.5641456528037215,0.7147193773814409,0.6504808082192152,0.6172159764340084,0.6617562795180063,0.6367652953306654,0.5998412562512865,0.6233741718842675,0.5759606522184135,0.5956442323443718,0.6870729116755477,0.6093466182773709,0.7088700689182326,0.6586053234499615,0.6250303257611196,0.6052847735888827,0.6049726023168318,0.5570249054189436,0.5718151475222576,0.7056886520833119
19,-27.7341246008873,0.5945906315502973,0.5483881073923055,0.5924584058028937,0.6422412929007059,0.5641971083071088,0.7146173572848386,0.6505180003973562,0.6172196116997608,0.6617651023267298,0.6367323550574052,0.599824811632333,0.6234350684959724,0.5759986167943313,0.5956057900346083,0.6870473130721106,0.6093200479390563,0.7088136836879171,0.6586167797132018,0.6250095487885143,0.605269665936604,0.6049841245781377,0.5570403969798781,0.5718846095425145,0.7056591805668165
20,-27.734361052513123,0.5946970086398331,0.548299277242319,0.5925023347378491,0.6422947707277774,0.5641364744386252,0.7145976126894575,0.6506767705137025,0.6172918065579669,0.6618434422357257,0.6366368608012254,0.5998905575342152,0.6235102796104875,0.5759615458659401,0.5955360953547184,0.6870129945257776,0.6093289854500014,0.7089460678472564,0.6587391566177572,0.6249672852816317,0.6053191605931677,0.6050032004828151,0.5569862333441703,0.5719677558253844,0.7058348365335633
21,-27.734656006097794,0.5947749392921182,0.5482010900484849,0.5925409001726242,0.6423252501125846,0.5640694076948205,0.7146327570037105,0.6508794839272319,0.6173724391969202,0.6619398173207504,0.6365922238114495,0.5999675387060235,0.6235992077833351,0.5759107649182511,0.5954710129497416,0.6870159618220647,0.6093210031067665,0.7091082104185003,0.6588608111113962,0.62494371759972,0.6053978604663798,0.6050281612729191,0.556933875622137,0.5720226309578401,0.7060368095082076
22,-27.73466682434082,0.5947749395313664,0.548201089893006,0.5925409001534792,0.6423252502553672,0.5640694075274892,0.7146327570113917,0.6508794841213065,0.6173724393222628,0.661939817250699,0.636592223516627,0.5999675388580391,0.6235992077366951,0.575910764823883,0.5954710128483682,0.6870159615448919,0.6093210032185233,0.7091082106263696,0.658860811271539,0.6249437175778524,0.6053978606065284,0.6050281612191196,0.5569338755811349,0.5720226311067453,0.7060368097713581
23,-27.73466682434082,0.5947749395314992,0.5482010898928238,0.5925409001534773,0.6423252502553302,0.5640694075273858,0.7146327570112057,0.6508794841215633,0.6173724393223599,0.6619398172505193,0.6365922235164322,0.5999675388581337,0.6235992077367343,0.5759107648238261,0.5954710128482431,0.6870159615445685,0.6093210032185383,0.7091082106264524,0.6588608112715226,0.6249437175777369,0.6053978606066756,0.6050281612190845,0.5569338755811153,0.5720226311068993,0.7060368097714432
